"upeople_id","16scmChanges","20scmChanges","25scmChanges","224scmChanges","380scmChanges","260scrChanges","262scrChanges","266scrChanges","386scrChanges","412scrChanges","1mslChanges","2mslChanges","3mslChanges","4mslChanges","5mslChanges","6mslChanges","7mslChanges","8mslChanges","9mslChanges","10mslChanges","11mslChanges","12mslChanges","13mslChanges","14mslChanges","15mslChanges","16mslChanges","17mslChanges","18mslChanges","19mslChanges","20mslChanges","21mslChanges","number_of_domain","country","16linesadded","16linesremoved","20linesadded","20linesremoved","25linesadded","25linesremoved","224linesadded","224linesremoved","380linesadded","380linesremoved","260ReviewGotMerged","262ReviewGotMerged","266ReviewGotMerged","386ReviewGotMerged","412ReviewGotMerged"
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,0,0,8,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,11,3578,0,0,0,0,0,0,0,0,0,34,0,12,0,107,0,36,0,0,0,2,0,0,1,0,0,6,0,0,9,5,9,37,66,233158,149995,0,0,0,0,0,0,0,0,0,0,0
182,13,1868,0,11,0,0,0,0,0,0,0,13,7,9,0,72,0,85,1,0,0,7,0,1,8,72,11,0,0,0,15,3,6,62,77,426338,256295,0,0,240,321,0,0,0,0,0,0,0
185,6,192,0,76,0,0,0,0,0,0,0,1,3,2,0,13,0,34,0,0,1,1,0,0,1,3,3,157,0,3,8,4,10,11,8,16058,8292,0,0,3684,1612,0,0,0,0,0,0,0
189,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1,0,6,0,0,0,19,139,0,0,0,0,3,2,10,729,499,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1,83,0,1957,0,0,0,0,0,0,0,0,17,0,0,2,0,84,1,0,228,0,32,3,2,179,0,0,0,0,1,5,8,2,1,1472,2443,0,0,80857,51631,0,0,0,0,0,0,0
197,23,3599,1,37,224,2,0,2,5,24,0,16,1,17,0,79,4,37,10,0,0,3,3,2,0,194,30,10,0,32,31,3,7,191,296,379851,252471,6,4,427,249,24992,23315,2,0,2,2,14
200,8,5,2,5,12,4,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,54,57,30,7,8,0,33,26,565,51,4,2,0,0,0
234,0,12,0,776,0,0,0,0,0,0,0,0,76,4,0,0,0,85,0,0,159,2,103,0,16,14,0,5,0,0,103,4,10,0,0,113,69,0,0,215629,106692,0,0,0,0,0,0,0
245,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,10,0,0,0,7,0,4,6,0,0,27825,20467,0,0,0,0,0,0,0,0,0,0,0
247,0,2048,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,5,9,0,0,196815,122835,0,0,0,0,0,0,0,0,0,0,0
249,0,1,0,0,318,0,0,0,0,0,0,8,3,3,1,7,0,51,0,3,1,3,3,5,28,42,0,3,0,0,8,3,6,0,0,7,7,0,0,0,0,57940,19289,0,0,0,0,0
251,0,1129,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,1,0,0,0,15,0,0,0,1,0,4,10,0,0,112567,61271,0,0,0,0,0,0,0,0,0,0,0
252,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,4,7,0,0,6375,1882,0,0,0,0,0,0,0,0,0,0,0
253,0,297,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,4,0,0,0,0,0,0,0,12,2,0,0,2,0,2,7,0,0,56232,21741,0,0,0,0,0,0,0,0,0,0,0
254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0
257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,136,13,0,0,0,0,0,0,0,0,0,0,0
258,0,2,0,0,20,0,0,0,20,5,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,3,0,0,0,0,5,2,9,0,0,443,124,0,0,0,0,5320,521,0,0,0,20,5
259,0,3,0,0,0,0,0,0,2,7,0,0,0,11,0,3,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,7,9,0,0,114,15,0,0,0,0,0,0,0,0,0,0,4
261,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,295,15,0,0,126,22,0,0,0,1,0,0,0
262,0,13,0,0,916,0,0,0,181,0,0,35,0,0,0,0,3,4,3,0,0,0,2,0,0,15,0,2,0,0,0,6,8,0,0,3226,225,0,0,0,0,116821,32226,0,0,0,103,0
266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,198,1,0,0,0,0,0,0,0,0,0,0,0
268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,2,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,0,110,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,0,0,14231,2962,0,0,0,0,62,31,0,0,0,0,4
272,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0
273,0,1,0,0,7,0,0,0,0,0,0,4,0,3,0,1,11,135,20,5,0,1,0,7,0,746,0,0,0,1,16,7,9,0,0,12,0,0,0,0,0,59,13,0,0,0,0,0
274,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,882,51,0,0,0,0,0,0,0,0,0,0,0
276,0,5,0,0,0,0,0,0,5,24,0,0,0,0,0,0,389,12,9,0,0,0,0,0,0,14,0,11,0,1,161,5,8,0,0,149,63,0,0,0,0,0,0,0,0,0,3,11
278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0
282,0,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,54,3,0,0,0,0,0,0,0,0,0,0,0
285,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,729,33,0,0,19,6,6,1,0,0,0,0,0
286,0,3,0,0,14,0,0,0,44,20,0,0,0,19,0,0,15,8,0,12,0,0,0,16,0,36,0,0,0,0,36,3,6,0,0,155,55,0,0,0,0,11370,11194,0,0,0,24,3
287,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,59,1,0,0,0,0,0,0,0,0,0,0,8
288,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2582,348,0,0,0,0,0,0,0,0,0,0,0
289,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,16,0,0,0,0,0,24,2,0,0,0,0,0
291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0
292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,43,6,0,0,0,0,0,0,0,0,0,0,0
319,0,0,5,0,5979,0,0,0,0,0,0,162,0,24,0,5,7,97,26,9,1,0,0,3,7,475,0,0,0,0,0,2,7,0,0,0,0,39053,5,0,0,997973,376398,0,0,0,0,0
320,0,0,1,0,186,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,11,0,0,0,0,0,3,7,0,0,0,0,1,1,0,0,16557,6198,0,0,0,0,0
322,0,0,13,0,682,0,0,0,158,0,0,58,0,0,0,0,1,3,0,0,0,0,0,0,0,70,0,0,0,0,0,4,8,0,0,0,0,59,42,0,0,41904,21287,0,0,0,118,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,24,0,0,0,82,0,0,3,0,0,0,0,1,2,4,0,0,0,0,0,0,82,0,0,186,0,0,3,6,0,0,0,0,0,0,0,0,2473,1022,0,0,0,38,0
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,0,0,18,0,126,0,204,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,2,0,35,0,0,0,5,8,0,0,0,0,0,0,0,0,7,3,0,0,0,8,0
610,0,0,0,587,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,40336,30960,0,0,0,26,0,0,0
665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,1,8,0,28,0,0,0,0,109,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,0,0,0,0,1820,0,0,0,0,0,0,294,3,4,0,3,0,70,5,0,0,6,0,0,0,167,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,685049,455744,0,0,0,0,0
671,0,0,0,206,0,0,14,0,0,0,0,0,4,0,0,0,1,45,5,225,0,0,14,0,0,98,0,0,0,0,1,3,6,0,0,0,0,0,0,7568,4099,0,0,0,14,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131,22,4,0,0,6,0,3,9,27,0,0,1,0,71,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,10,0,0,0,0,0,1,2,60,0,0,0,0,132,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,220,81,0,0,0,0,0
906,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,0,0,0,0,6,0,0,0,14,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,507,108,0,0,0,2,0
1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,6,0,0,2,74,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,1971,907,0,0,0,1,0,0,0
1587,0,0,0,9,56,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,774,263,12338,2447,0,0,0,1,0
1781,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,11278,3551,0,0,0,0,0
1951,0,0,0,0,3571,0,0,0,0,0,0,344,1,6,0,13,0,48,8,0,0,1,0,0,3,130,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,336389,139148,0,0,0,0,0
1979,0,0,0,0,325,0,0,0,11,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,67050,20448,0,0,0,10,0
