"upeople_id","31scmChanges","73scmChanges","186scmChanges","367scmChanges","number_of_domain","country","31linesadded","31linesremoved","73linesadded","73linesremoved","186linesadded","186linesremoved","367linesadded","367linesremoved"
92,0,0,0,0,2,8,0,0,0,0,0,0,0,0
273,274,16,54,23,7,9,19249,24178,41,24,413,328,2055,510
348,326,0,34,2,5,7,41784,34645,0,0,1057,252,223,16
368,0,0,0,0,1,10,0,0,0,0,0,0,0,0
369,10,0,1,0,3,7,1932,318,0,0,15,1,0,0
370,59,3,15,0,1,9,3556,1334,269,56,1158,552,0,0
371,3,0,0,0,3,10,9,15,0,0,0,0,0,0
462,0,0,0,0,1,9,0,0,0,0,0,0,0,0
1082,0,0,0,0,3,10,0,0,0,0,0,0,0,0
1635,0,0,0,0,6,7,0,0,0,0,0,0,0,0
1822,0,0,0,0,1,7,0,0,0,0,0,0,0,0
380768,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380771,0,0,0,0,2,0,0,0,0,0,0,0,0,0
380783,0,0,0,0,2,0,0,0,0,0,0,0,0,0
380784,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380797,0,0,0,0,2,0,0,0,0,0,0,0,0,0
380799,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380827,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380968,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380983,0,0,0,0,1,0,0,0,0,0,0,0,0,0
381200,0,0,0,0,3,0,0,0,0,0,0,0,0,0
383677,0,0,0,0,2,0,0,0,0,0,0,0,0,0
396078,0,0,0,0,2,0,0,0,0,0,0,0,0,0
399275,0,0,0,0,1,0,0,0,0,0,0,0,0,0
432947,0,0,0,0,1,0,0,0,0,0,0,0,0,0
433088,0,0,0,0,1,0,0,0,0,0,0,0,0,0
446729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
