"upeople_id","26scmChanges","366scmChanges","1mslChanges","number_of_domain","country","366linesadded","366linesremoved"
161,0,7,3,1,8,903,2923
166,0,62,6,1,10,28172,27433
167,0,11,0,1,7,125,41
547,0,0,3,5,8,0,0
554,0,0,30,4,10,0,0
1320,0,0,0,3,10,0,0
1351,0,0,1,7,8,0,0
1860,0,0,0,6,6,0,0
2699,0,0,51,2,8,0,0
3089,0,0,0,2,8,0,0
378243,0,0,0,13,0,0,0
378323,0,0,5,2,0,0,0
378412,0,0,4,3,0,0,0
379930,0,0,5,3,0,0,0
380007,0,0,4,3,0,0,0
381786,0,0,16,2,0,0,0
381787,0,0,7,2,0,0,0
381807,0,0,1,2,0,0,0
381852,0,0,35,2,0,0,0
381933,0,0,19,2,0,0,0
381935,0,0,7,1,0,0,0
381968,0,0,8,1,0,0,0
382209,0,0,4,1,0,0,0
382303,0,0,0,4,0,0,0
384357,0,0,1,1,0,0,0
384451,0,0,0,1,0,0,0
384459,0,0,0,2,0,0,0
384477,0,0,0,2,0,0,0
