"upeople_id","36scmChanges","49scmChanges","55scmChanges","77scmChanges","108scmChanges","128scmChanges","140scmChanges","158scmChanges","178scmChanges","221scmChanges","258scmChanges","260scmChanges","278scmChanges","300scmChanges","340scmChanges","397scmChanges","85scrChanges","101scrChanges","129scrChanges","150scrChanges","249scrChanges","327scrChanges","366scrChanges","370scrChanges","396scrChanges","1mslChanges","number_of_domain","country","36linesadded","36linesremoved","49linesadded","49linesremoved","55linesadded","55linesremoved","77linesadded","77linesremoved","108linesadded","108linesremoved","128linesadded","128linesremoved","140linesadded","140linesremoved","158linesadded","158linesremoved","178linesadded","178linesremoved","221linesadded","221linesremoved","258linesadded","258linesremoved","260linesadded","260linesremoved","278linesadded","278linesremoved","300linesadded","300linesremoved","340linesadded","340linesremoved","397linesadded","397linesremoved","85ReviewGotMerged","101ReviewGotMerged","129ReviewGotMerged","150ReviewGotMerged","249ReviewGotMerged","327ReviewGotMerged","366ReviewGotMerged","370ReviewGotMerged"
400,7,1,9,0,8,8,1,134,10,5,12,0,43,271,12,2,0,18,1,0,0,9,0,145,4,6,2,6,273,4,2,1,3514,3333,0,0,27651,222,360,357,2,2,574113,41137,1301,1297,228,2241,51215,905,0,0,9052,3831,100831,78053,173974,1005,1123,1123,0,9,1,0,0,6,0,0
401,10,5,25,1,9,30,4,56,42,12,16,11,119,46,22,26,3,0,5,0,0,0,4,4,0,3,4,7,26,9,157,54,2036,1778,0,895,93,28529,1691,1023,10280,12,29815,9632,23132,4253,22205,3980,178,158,6588,5018,1392199,40319,439999,92188,219,151822,142301,16059,0,0,5,0,0,0,4,4
403,59,25,92,1,11,129,34,153,83,38,18,37,209,173,32,57,2,4,5,4,3,20,0,0,0,7,3,8,673,354,486,655,10598,8180,101228,101264,171,905,5079,3521,1772,2276,8126,51936,3437,3546,4251,1829,103,132,1096,2863,41540,37145,162156,196196,997,2237,2284,2710,2,4,5,4,2,14,0,0
406,7,5,35,1,9,50,1,61,22,0,18,3,11,11,8,23,0,0,2,0,0,0,0,0,0,19,4,7,48,13,363,15,3706,3714,1,1,1021,230,1523,1387,0,0,19830,11299,3734,683,0,0,1044,493,3,3,102,68,15,15,1527,981,2081,1626,0,0,2,0,0,0,0,0
564,0,0,4,0,0,7,4,22,16,5,3,1,168,12,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,3,0,0,0,0,20,15,80,64,3861,995,1407,898,693,494,46,24,216,216,166014,129357,301,241,0,0,3,3,0,0,0,0,0,0,0,0
565,0,0,3,0,0,2,2,15,1,1,1,0,27,96,3,1761,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,4,0,0,0,0,2,2,6,6,7135,2389,220,0,6,6,788,0,0,0,3479,2421,7213,5325,18,2,189584,160556,0,0,0,0,0,0,0,0
567,0,0,8,0,0,5,0,14,30,21,1,0,295,26,1,4,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,2179,2184,0,0,0,0,48,50,0,0,1204,84,1379,590,1560,169,9,0,0,0,166344,38294,898,686,1,1,11,10,0,0,0,0,0,0,0,0
568,2,0,22,0,0,9,0,4,5,6,2,0,9,3,4,7,2,2,3,0,2,4,0,0,0,1,4,7,0,0,0,0,2296,2237,0,0,0,0,33,31,0,0,243,63,112,24,2302,27,49,26,0,0,656,506,0,44223,54,22,1852,1463,2,2,3,0,0,4,0,0
934,0,0,0,7,0,0,6,0,1,1,0,0,0,191,0,0,0,0,0,0,0,0,0,2,0,0,2,9,0,0,0,0,0,0,246,1542,0,0,0,0,56,60,0,0,80,17,55754,0,0,0,0,0,0,0,234162,90070,0,0,0,0,0,0,0,0,0,0,0,0
1466,0,0,1,0,20,4,0,23,12,0,2,10,124,56,99,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,4697,5337,71,29,0,0,627,603,247,277,0,0,11,30,712,510,9537,4639,19075,20405,84590,77328,0,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
