"upeople_id","33scmChanges","45scmChanges","56scmChanges","86scmChanges","107scmChanges","116scmChanges","184scmChanges","193scmChanges","203scmChanges","228scmChanges","230scmChanges","241scmChanges","299scmChanges","313scmChanges","348scmChanges","385scmChanges","390scmChanges","391scmChanges","419scmChanges","1mslChanges","2mslChanges","3mslChanges","4mslChanges","5mslChanges","number_of_domain","country","33linesadded","33linesremoved","45linesadded","45linesremoved","56linesadded","56linesremoved","86linesadded","86linesremoved","107linesadded","107linesremoved","116linesadded","116linesremoved","184linesadded","184linesremoved","193linesadded","193linesremoved","203linesadded","203linesremoved","228linesadded","228linesremoved","230linesadded","230linesremoved","241linesadded","241linesremoved","299linesadded","299linesremoved","313linesadded","313linesremoved","348linesadded","348linesremoved","385linesadded","385linesremoved","390linesadded","390linesremoved","391linesadded","391linesremoved","419linesadded","419linesremoved"
374,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,1998,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,4,5,6,6,23,53,92,6,381,10,11,9,19,13,13,95,7,63,4,0,0,483,14,0,2,7,12,9,57,5,9,6,82,22,32739,893,583,275,4735,22530,88,8,54672,16547,18,15,51,40,22,11,101,69,111,22,40,25,191,175,14,11,6454,1845,9,6
381,1,3,5,1,0,319,78,3,9,14,26,5,103,0,5,1,11,5,5,4,0,63,27,12,1,6,14,0,13,1,29,4,14,0,0,0,111283,31940,8557,3309,59,2,503,510,41,24,199011,339,25,7,507307,248327,0,0,35,10,15,0,68,52,961,1,28,1
570,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,0,1,7,0,0,0,0,726,8,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,305,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,0,0,0,0,67,1,790,0,39,3,3,0,0,10,2,178,2,12,0,0,3,76,49,0,1,8,0,0,0,0,0,0,0,0,11996,2678,6,4,172618,31095,0,0,4727,4670,1272,1034,1330,1090,0,0,0,0,3529,335,432,409,7823,2729,638,526,1290,380,0,0
1159,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,848,0,0,0,0,2,44,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,25660,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369326,31159,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
