"upeople_id","80scmChanges","1mslChanges","number_of_domain","country","80linesadded","80linesremoved"
46,31,6,1,6,39916,31156
59,0,0,1,6,0,0
68,19,5,1,6,3248,2003
257,111,116,1,7,70128,24652
811,170,139,3,7,270470,244839
844,0,26,3,9,0,0
1073,108,0,1,8,21857,13719
1078,58,2,1,10,14912,2367
378243,0,0,13,0,0,0
381280,0,1,1,0,0,0
381354,0,0,2,0,0,0
381399,0,0,1,0,0,0
381505,0,3,1,0,0,0
384693,0,9,2,0,0,0
391594,0,0,3,0,0,0
396267,0,0,2,0,0,0
432705,0,0,1,0,0,0
445710,0,0,0,0,0,0
447378,0,0,0,0,0,0
447381,0,0,0,0,0,0
447383,0,0,0,0,0,0
447385,0,0,0,0,0,0
