"upeople_id","213scmChanges","247scmChanges","374scmChanges","197scrChanges","209scrChanges","294scrChanges","2mslChanges","number_of_domain","country","213linesadded","213linesremoved","247linesadded","247linesremoved","374linesadded","374linesremoved","197ReviewGotMerged","209ReviewGotMerged","294ReviewGotMerged"
197,0,19,0,0,0,44,0,3,7,0,0,471,313,0,0,0,0,38
276,0,0,0,0,0,5,3,5,8,0,0,0,0,0,0,0,0,2
415,0,87,2,0,8,227,65,3,6,0,0,6723,1376,726,15,0,2,181
444,1,243,0,6,0,1111,88,3,9,35,3,10575,4546,0,0,1,0,922
526,0,7,5,0,24,64,69,6,9,0,0,347,127,1879,0,0,19,38
550,0,25,0,0,0,196,0,5,6,0,0,3244,1406,0,0,0,0,99
818,399,333,0,965,0,895,0,3,6,59467,18652,21734,5751,0,0,929,0,781
832,0,493,0,2,0,1742,105,1,8,0,0,31308,20251,0,0,2,0,1513
838,0,267,0,3,0,1254,338,1,9,0,0,13798,7982,0,0,3,0,1015
869,0,18,0,0,0,189,115,5,8,0,0,2122,486,0,0,0,0,149
1527,37,0,0,96,0,0,6,2,6,2785,563,0,0,0,0,60,0,0
1554,0,6,0,0,0,59,57,2,8,0,0,287,91,0,0,0,0,33
2241,0,253,0,0,0,635,74,6,10,0,0,16441,7026,0,0,0,0,565
2242,0,432,0,0,0,1131,45,1,7,0,0,69540,27563,0,0,0,0,992
2244,0,273,0,1,0,1596,120,2,6,0,0,31246,13376,0,0,0,0,1431
2249,0,30,0,6,0,131,94,2,7,0,0,667,634,0,0,6,0,122
2253,0,1,0,0,0,3,14,4,9,0,0,104,104,0,0,0,0,3
2256,0,36,0,0,0,73,13,1,7,0,0,2067,565,0,0,0,0,65
2259,0,5,0,0,0,36,0,2,7,0,0,884,152,0,0,0,0,23
2262,0,1,0,0,0,2,0,2,9,0,0,189,0,0,0,0,0,2
2263,0,13,0,0,0,58,24,2,8,0,0,1676,99,0,0,0,0,37
2269,0,10,0,0,0,28,0,1,7,0,0,1390,259,0,0,0,0,27
2270,0,10,0,0,0,80,5,4,9,0,0,3458,304,0,0,0,0,79
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
432589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
