"upeople_id","204scmChanges","257scmChanges","370scmChanges","407scmChanges","187scrChanges","384scrChanges","402scrChanges","420scrChanges","number_of_domain","country","204linesadded","204linesremoved","257linesadded","257linesremoved","370linesadded","370linesremoved","407linesadded","407linesremoved","187ReviewGotMerged","384ReviewGotMerged","402ReviewGotMerged","420ReviewGotMerged"
259,2,8,0,5,7,22,53,89,7,9,832,2,1626,1589,0,0,4266,152,7,19,45,75
1555,15,0,0,0,0,181,0,0,3,10,3768,1375,0,0,0,0,0,0,0,165,0,0
2073,17,17,31,13,269,172,58,295,5,6,1272,780,2323,3912,3438,2431,18693,22418,258,163,57,290
2075,12,0,0,0,0,138,0,0,1,6,2622,992,0,0,0,0,0,0,0,119,0,0
2318,0,36,27,4,130,1,12,141,4,7,0,0,1729,801,649,447,46,32,121,0,12,138
2319,0,37,0,0,0,0,0,429,4,7,0,0,15029,10019,0,0,0,0,0,0,0,419
2929,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0
194327,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
378243,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
432726,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
432937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
443382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
