"upeople_id","197scmChanges","420scmChanges","432scmChanges","439scmChanges","318scrChanges","364scrChanges","458scrChanges","459scrChanges","1mslChanges","number_of_domain","country","197linesadded","197linesremoved","420linesadded","420linesremoved","432linesadded","432linesremoved","439linesadded","439linesremoved","318ReviewGotMerged","364ReviewGotMerged","458ReviewGotMerged","459ReviewGotMerged"
167,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
536,12,125,2,2,428,26,4,4,4,2,7,377,100,55363,19698,184,0,184,0,415,26,4,4
826,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0
889,0,2,0,0,8,0,0,0,0,3,10,0,0,59,25,0,0,0,0,8,0,0,0
2038,244,464,7,155,207,15,0,2,6,3,10,280068,72320,588470,208359,163,161,17716,8636,185,13,0,2
2039,45,396,12,214,1400,11,53,5,0,3,6,1747,233,72587,34820,626,15,8072,2206,1302,8,53,5
2040,23,249,0,0,172,0,0,0,11,2,9,40208,4031,43579,30216,0,0,0,0,154,0,0,0
2041,22,726,0,6,28,0,0,0,2,4,10,1006,139,72180,36616,0,0,0,0,25,0,0,0
2042,100,545,16,117,239,23,73,13,2,1,10,287661,287032,500711,441099,5527,2676,9572,5456,223,23,68,13
2043,18,289,0,0,104,8,0,0,0,3,8,11740,3838,59881,13436,0,0,0,0,93,8,0,0
2046,29,270,35,155,518,34,217,52,2,1,10,669,2508,20320,20511,1114,765,2474,1656,497,31,215,48
2050,1,158,3,0,564,6,0,7,0,1,8,25,8,16456,9533,8,3,0,0,527,2,0,7
3182,0,61,0,0,12,0,0,0,0,1,6,0,0,1848,562,0,0,0,0,12,0,0,0
3183,0,35,0,0,0,0,0,0,0,1,9,0,0,960,102,0,0,0,0,0,0,0,0
3184,0,510,4,4,220,0,7,0,0,3,9,0,0,57867,93316,24,3493,4,2651,218,0,5,0
3185,0,30,0,0,35,0,0,0,0,3,8,0,0,6351,2416,0,0,0,0,35,0,0,0
3186,0,34,0,0,60,0,0,0,0,3,7,0,0,827,327,0,0,0,0,54,0,0,0
3187,0,23,0,4,26,0,0,0,0,1,9,0,0,1489,768,0,0,61,35,21,0,0,0
3188,0,4,0,0,3,0,0,0,0,1,7,0,0,43,2,0,0,0,0,3,0,0,0
3191,0,26,0,0,32,0,0,0,0,2,7,0,0,1521,863,0,0,0,0,25,0,0,0
3192,0,5,0,0,8,0,0,0,0,1,9,0,0,649,263,0,0,0,0,8,0,0,0
3193,0,2,0,0,0,0,0,0,0,2,8,0,0,231,7,0,0,0,0,0,0,0,0
3195,0,15,0,0,0,0,0,0,0,3,6,0,0,2758,463,0,0,0,0,0,0,0,0
