"upeople_id","41scmChanges","133scmChanges","42scrChanges","64scrChanges","1mslChanges","number_of_domain","country","41linesadded","41linesremoved","133linesadded","133linesremoved","42ReviewGotMerged","64ReviewGotMerged"
23,56,0,15,0,19,3,6,13675,3474,0,0,14,0
24,11,0,0,0,83,6,6,93,25,0,0,0,0
29,99,0,15,0,7,1,10,36995,36668,0,0,15,0
475,594,1092,23,124,129,5,8,113580,97756,147651,111933,21,109
476,1685,2,30,0,108,4,7,468370,351337,3,2,30,0
477,393,0,0,0,2,1,9,107543,71870,0,0,0,0
478,17,0,0,0,0,2,6,6747,1472,0,0,0,0
479,461,0,4,0,4,1,9,151771,123433,0,0,4,0
480,1,34,0,7,4,2,7,13,2,1665,275,0,5
492,1,24,0,6,7,3,6,4,4,2082,114,0,2
494,14,13,40,8,179,1,6,1112,167,5635,169,34,7
1608,0,10,0,0,1,3,8,0,0,168,93,0,0
2223,0,0,0,0,5,3,7,0,0,0,0,0,0
2793,0,0,4,0,0,4,8,0,0,0,0,4,0
3080,0,0,0,0,0,7,6,0,0,0,0,0,0
378243,0,0,0,0,0,13,0,0,0,0,0,0,0
382566,0,0,0,0,0,1,0,0,0,0,0,0,0
