"upeople_id","424scmChanges","1mslChanges","2mslChanges","number_of_domain","country","424linesadded","424linesremoved"
379,2944,1061,1,2,7,514384,257897
1134,1141,235,0,1,10,395801,152759
1135,717,337,0,1,6,82614,39021
1138,859,328,0,4,7,362267,172961
1142,151,46,0,1,6,49279,5854
1146,1381,204,0,2,6,95824,31268
1147,1411,432,1,1,7,424591,248847
1148,1434,408,0,4,8,229879,92709
1153,275,77,0,1,8,32932,12135
1159,2434,776,0,4,6,344058,123143
1160,1255,300,0,2,6,449993,105422
1161,311,238,0,1,7,85200,20342
1162,243,86,0,4,10,620443,320582
1169,2,7,0,1,7,4,4
1170,160,60,0,2,7,51105,10348
1174,304,341,0,1,6,83314,24330
1179,1396,38,0,4,10,91271,37379
1189,1487,185,0,3,8,136205,66634
1191,598,106,0,3,6,45957,12652
1193,1400,209,0,2,8,232520,56163
1199,150,10,0,1,10,21181,4369
1200,396,35,0,3,8,17371,8611
1210,5,0,0,1,8,119,64
1212,61,0,0,1,8,695,340
1213,132,0,0,4,6,7020,2579
1215,5,0,0,1,10,52,28
1218,122,0,0,2,8,11803,2276
1228,228,425,0,4,8,111798,164993
1248,2,0,0,1,7,13,1
1273,33,374,0,1,8,1333,459
1275,19,0,0,1,9,3281,2827
1296,25,2,0,2,6,5975,5248
378243,0,0,0,13,0,0,0
379873,0,6,0,3,0,0,0
380915,0,0,0,2,0,0,0
381400,0,4,0,1,0,0,0
382536,0,265,0,2,0,0,0
382556,0,0,0,3,0,0,0
382772,0,213,0,4,0,0,0
383086,0,0,0,2,0,0,0
383817,0,183,75,1,0,0,0
384558,0,26,6,1,0,0,0
384648,0,11,0,2,0,0,0
384649,0,15,16,1,0,0,0
384661,0,53,66,2,0,0,0
384683,0,0,0,1,0,0,0
384687,0,0,0,1,0,0,0
385166,0,0,0,1,0,0,0
385174,0,0,0,1,0,0,0
385549,0,0,0,1,0,0,0
385551,0,0,0,1,0,0,0
385555,0,34,0,1,0,0,0
385557,0,0,0,4,0,0,0
385559,0,6,0,1,0,0,0
385560,0,68,0,1,0,0,0
385561,0,0,0,1,0,0,0
385562,0,19,0,1,0,0,0
385565,0,0,0,1,0,0,0
385568,0,0,0,1,0,0,0
385573,0,167,138,1,0,0,0
385575,0,44,0,1,0,0,0
385576,0,2,0,1,0,0,0
385592,0,37,0,2,0,0,0
385602,0,176,0,1,0,0,0
385603,0,0,0,1,0,0,0
385605,0,0,0,1,0,0,0
385609,0,0,0,1,0,0,0
385610,0,47,0,1,0,0,0
385611,0,267,0,1,0,0,0
385612,0,323,0,1,0,0,0
385613,0,12,0,1,0,0,0
385618,0,3,0,2,0,0,0
385634,0,11,0,1,0,0,0
386297,0,0,0,1,0,0,0
389608,0,0,0,1,0,0,0
389641,0,0,0,1,0,0,0
389673,0,0,0,1,0,0,0
389684,0,0,0,1,0,0,0
395667,0,0,0,1,0,0,0
396989,0,181,0,1,0,0,0
397038,0,1,0,1,0,0,0
397039,0,100,0,1,0,0,0
398967,0,0,0,1,0,0,0
407816,0,18,0,1,0,0,0
407818,0,138,0,1,0,0,0
407886,0,91,0,1,0,0,0
407887,0,64,0,2,0,0,0
407975,0,9,0,1,0,0,0
407988,0,0,0,1,0,0,0
408106,0,0,0,1,0,0,0
408303,0,0,0,1,0,0,0
408331,0,0,0,1,0,0,0
408394,0,0,0,1,0,0,0
408405,0,0,0,2,0,0,0
408452,0,0,0,1,0,0,0
409735,0,0,0,1,0,0,0
432367,0,3,0,2,0,0,0
433228,0,0,0,1,0,0,0
433365,0,0,0,1,0,0,0
433366,0,0,0,1,0,0,0
433601,0,0,0,1,0,0,0
433604,0,0,0,1,0,0,0
433644,0,0,0,0,0,0,0
443878,130,0,0,2,0,7053,3887
447368,0,0,0,0,0,0,0
447446,0,0,0,0,0,0,0
447483,0,0,0,0,0,0,0
447484,0,0,0,0,0,0,0
447486,0,0,0,0,0,0,0
447496,0,0,0,0,0,0,0
447615,0,0,0,0,0,0,0
447928,0,0,0,0,0,0,0
448097,0,0,0,0,0,0,0
448565,0,0,0,0,0,0,0
448581,0,0,0,0,0,0,0
449790,0,0,0,0,0,0,0
449799,0,0,0,0,0,0,0
449896,0,0,0,0,0,0,0
449909,0,0,0,0,0,0,0
449919,0,0,0,0,0,0,0
450062,0,0,0,0,0,0,0
450113,0,0,0,0,0,0,0
