"upeople_id","269scmChanges","319scmChanges","353scmChanges","1mslChanges","number_of_domain","country","269linesadded","269linesremoved","319linesadded","319linesremoved","353linesadded","353linesremoved"
273,33,27,404,1224,7,9,28598,9134,2863,2294,13180,14606
371,0,0,0,498,3,10,0,0,0,0,0,0
611,0,0,0,203,2,6,0,0,0,0,0,0
1060,25,0,0,1,3,6,12729,18695,0,0,0,0
1587,0,0,0,24,1,9,0,0,0,0,0,0
1626,188,146,2786,68,3,7,694,14780944,1602,898841,110133,1172058226
1633,0,0,0,2,1,9,0,0,0,0,0,0
1812,297,0,0,5,3,8,246480,120847,0,0,0,0
378243,0,0,0,0,13,0,0,0,0,0,0,0
380749,0,0,0,5,2,0,0,0,0,0,0,0
380752,0,0,0,247,1,0,0,0,0,0,0,0
380768,0,0,0,301,1,0,0,0,0,0,0,0
380770,0,0,0,2,2,0,0,0,0,0,0,0
380771,0,0,0,164,2,0,0,0,0,0,0,0
380779,0,0,0,2,2,0,0,0,0,0,0,0
380788,0,0,0,5,1,0,0,0,0,0,0,0
380789,0,0,0,33,3,0,0,0,0,0,0,0
380792,0,0,0,1,1,0,0,0,0,0,0,0
380797,0,0,0,591,2,0,0,0,0,0,0,0
380805,0,0,0,231,2,0,0,0,0,0,0,0
380827,0,0,0,28,1,0,0,0,0,0,0,0
380853,0,0,0,0,1,0,0,0,0,0,0,0
380875,0,0,0,5,3,0,0,0,0,0,0,0
380991,0,0,0,13,2,0,0,0,0,0,0,0
381171,0,0,0,20,1,0,0,0,0,0,0,0
381180,0,0,0,87,1,0,0,0,0,0,0,0
382296,0,0,0,0,1,0,0,0,0,0,0,0
382329,0,0,0,3,1,0,0,0,0,0,0,0
383914,0,0,0,1,2,0,0,0,0,0,0,0
384011,0,0,0,4,1,0,0,0,0,0,0,0
385978,0,0,0,4,1,0,0,0,0,0,0,0
385979,0,0,0,1,1,0,0,0,0,0,0,0
386116,0,0,0,7,2,0,0,0,0,0,0,0
386206,0,0,0,9,1,0,0,0,0,0,0,0
406819,0,0,0,0,1,0,0,0,0,0,0,0
410064,0,0,0,0,1,0,0,0,0,0,0,0
410087,0,0,0,0,1,0,0,0,0,0,0,0
433525,0,0,0,0,1,0,0,0,0,0,0,0
446954,0,0,0,0,0,0,0,0,0,0,0,0
447526,0,0,0,0,0,0,0,0,0,0,0,0
447527,0,0,0,0,0,0,0,0,0,0,0,0
447528,0,0,0,0,0,0,0,0,0,0,0,0
447530,0,0,0,0,0,0,0,0,0,0,0,0
