"upeople_id","173scmChanges","341scrChanges","1mslChanges","2mslChanges","number_of_domain","country","173linesadded","173linesremoved","341ReviewGotMerged"
1865,234,34,37,1,2,6,516139,18811,24
1866,1526,47,14,0,4,8,465697,653338,42
1867,602,28,26,0,1,7,168473,155462,20
1869,4,0,0,0,1,10,3389,5746,0
1870,526,16,11,1,1,10,70781,65364,12
1871,8,7,0,0,2,10,493,435,0
1873,298,8,4,7,3,9,104374,123068,8
1874,116,0,4,2,1,9,10879,4732,0
1875,220,0,1,2,3,7,27844,10647,0
1876,75,0,0,0,1,6,5631,1695,0
3249,2,0,0,0,4,7,32,4,0
154678,1,0,0,0,1,0,2,2,0
378243,0,0,0,0,13,0,0,0,0
384792,0,0,4,0,2,0,0,0,0
385205,0,0,1,0,2,0,0,0,0
386232,0,0,0,0,2,0,0,0,0
386236,0,0,0,0,3,0,0,0,0
386244,0,0,0,0,1,0,0,0,0
386256,0,0,0,0,1,0,0,0,0
386268,0,0,0,0,1,0,0,0,0
386277,0,0,0,0,1,0,0,0,0
397086,0,0,0,0,2,0,0,0,0
397104,0,0,0,0,1,0,0,0,0
432022,0,35,0,0,2,0,0,0,26
432408,0,0,0,0,2,0,0,0,0
