"project","author"
1,3
3,4
4,0
5,0
8,11
9,0
11,0
12,7
14,0
15,0
20,0
21,0
24,0
25,8
27,0
29,0
30,0
32,0
33,9
35,0
37,2
38,0
40,1
41,0
42,26
43,0
44,0
46,2
48,0
51,23
53,0
54,3
57,0
60,1
61,0
62,0
63,11
64,0
66,4
68,0
69,0
70,0
71,1
75,1
76,2
77,0
82,0
83,2
86,1
88,0
93,0
94,2
95,1
96,1
98,32
99,0
100,0
103,0
104,3
105,0
109,2
110,2
112,0
113,0
116,0
119,2
120,0
126,32
127,5
129,0
134,1
135,0
138,0
140,3
142,2
144,0
145,0
147,0
150,3
154,0
155,8
156,0
158,0
159,0
160,1
161,1
162,0
168,1
170,0
172,0
173,0
174,0
175,0
176,0
181,0
184,0
185,0
189,3
190,0
191,0
192,0
196,0
197,9
198,0
201,0
204,0
205,0
206,0
208,1
214,0
215,1
217,0
218,0
219,5
221,0
223,2
224,1
228,1
229,0
234,3
235,0
237,0
238,1
240,0
241,0
242,0
243,1
245,1
248,0
249,0
251,0
