"project","author"
1,10
3,6
5,0
8,18
9,0
11,0
12,0
14,0
15,0
21,0
24,0
25,0
27,0
30,0
32,0
33,2
35,0
37,0
38,0
40,0
41,0
42,8
43,0
44,0
46,0
51,2
53,0
54,0
55,0
60,0
61,0
63,2
64,0
65,0
66,0
68,0
69,4
70,1
71,0
75,0
76,0
77,2
79,0
80,0
82,0
83,3
86,1
93,0
94,0
95,0
96,0
99,0
100,0
101,0
103,0
104,6
105,0
109,0
110,0
111,0
112,0
115,0
116,1
119,6
120,0
126,1
127,1
129,0
134,0
135,0
138,0
140,2
142,2
143,1
145,2
147,0
149,0
150,5
154,0
155,4
156,0
159,0
160,4
161,3
162,2
168,0
170,0
172,0
173,7
174,0
175,0
176,0
184,0
185,0
188,1
189,0
191,0
193,0
197,2
198,0
201,0
204,0
206,0
208,0
214,0
215,0
217,0
218,0
219,2
221,0
223,0
224,0
228,0
229,0
234,0
237,0
238,0
240,0
241,0
242,0
245,0
248,0
249,0
