"repo","count..."
1,1490
2,1375
3,13
4,693
5,23754
6,2
7,143
8,978
9,128
10,280
11,0
12,4090
13,2956
14,1
15,284
16,192
17,5082
18,5234
19,38
20,16787
21,1220
22,738
23,730
24,0
25,6
26,155
27,28
28,45
29,402
30,80
31,2166
32,207
33,40
34,2658
35,309
36,7
37,63
38,1426
39,1442
40,1871
41,2797
42,1
43,1121
44,235
45,27
46,3549
47,0
48,1347
49,40
50,23
51,2987
52,1317
53,31
54,16
55,15
56,37
57,0
58,1214
59,5448
60,150
61,1221
62,3438
63,9141
64,12135
65,1085
66,1492
67,115
68,599
69,11
70,27
71,0
72,27454
73,833
74,644
75,1253
76,742
77,931
78,4001
79,278
80,19418
81,265
82,211
83,3948
84,3753
85,151
86,135
87,15
88,238
89,20
90,0
91,67
92,89
93,0
94,16130
95,160
96,8
97,0
98,433
99,0
100,68049
101,868
102,2
103,3681
104,2272
105,5345
106,1
107,1090
108,287
109,2282
110,2574
111,190
112,313
113,1006
114,167
115,24
116,2089
117,469
118,63
119,69
120,3776
121,2757
122,869
123,78962
124,169
125,0
126,3806
127,2893
128,27
129,5745
130,43
131,185
132,0
133,257
134,138
135,13
136,407
137,2351
138,380
139,21
140,91
141,0
142,4031
143,453
144,2
145,10
146,1752
147,8
148,9310
149,70
150,4
151,12936
152,99
153,57941
154,1195
155,56
156,0
157,3013
158,2199
159,1442
160,0
161,0
162,597
163,0
164,5526
165,55
166,667
167,137
168,329
169,335
170,0
171,3927
172,8085
173,8774
174,4
175,152
176,84
177,1948
178,156
179,960
180,1991
181,6
182,13680
183,6
184,1892
185,1510
186,504
187,53
188,2938
189,6689
190,0
191,36
192,7819
193,44
194,4
195,125
196,5726
197,3356
198,29
199,2
200,10
201,942
202,6222
203,808
204,58
205,38
206,11
207,2
208,157
209,65
210,13
211,4789
212,1453
213,160
214,2
215,42
216,4715
217,30
218,4399
219,2
220,1295
221,69
222,5691
223,343
224,2373
225,0
226,0
227,30
228,70
229,1495
230,185
231,1145
232,416
233,151
234,40
235,738
236,278
237,6007
238,127
239,244
240,2
241,62
242,49
243,4
244,30
245,42192
246,10111
247,1074
248,72
249,2
250,305
251,1
252,4932
253,507
254,13
255,46
256,10037
257,162
258,194
259,685
260,28
261,54
262,2428
263,2710
264,1850
265,1224
266,630
267,28
268,6
269,1676
270,1487
271,3353
272,1825
273,459
274,12707
275,10521
276,1273
277,564
278,2847
279,343
280,1707
281,3008
282,7
283,202
284,0
285,11165
286,268
287,3
288,0
289,2
290,6741
291,57
292,73
293,3251
294,7205
295,23705
296,275
297,11
298,0
299,1247
300,4212
301,230
302,0
303,2522
304,61
305,4389
306,0
307,6
308,297
309,6
310,37
311,0
312,248
313,49
314,95
315,92
316,30
317,169
318,0
319,219
320,0
321,0
322,5102
323,1
324,1240
325,2214
326,1187
327,5155
328,2261
329,0
330,17540
331,266
332,1428
333,240
334,161
335,0
336,135
337,1184
338,2901
339,23
340,683
341,1092
342,388
343,195
344,2222
345,0
346,1
347,4
348,1009
349,132
350,221
351,225
352,1088
353,10645
354,9550
355,25
356,83
357,573
358,887
359,8
360,5794
361,1
362,554
363,3414
364,9759
365,18
366,1942
367,28
368,64
369,1073
370,92
371,2
372,933
373,189
374,23
375,1537
376,1006
377,6973
378,1536
379,950
380,10612
381,793
382,6024
383,1493
384,5368
385,418
386,55
387,18
388,1153
389,4152
390,51
391,59
392,130
393,3
394,24
395,2
396,5
397,5590
398,3163
399,24
400,8
401,53
402,122
403,2630
404,178
405,125
406,8039
407,177
408,11
409,1341
410,55
411,8
412,729
413,21
414,4
415,6073
416,199
417,332
418,47
419,43
420,5949
421,1186
422,1282
423,38
424,16956
425,40
426,0
427,11
428,18209
429,5
430,5
431,36
432,70
433,4012
434,60
435,4997
436,8321
437,365
438,35
439,137
440,1348
441,0
442,9
443,1284
444,1516
445,393
446,5
447,0
448,93
449,52
450,1
451,918
452,1898
453,71
454,2901
455,0
456,240
457,0
458,534
459,1224
460,4012
461,1351
462,0
463,23
464,1
465,4
466,46
467,2
468,129
469,0
470,3681
471,14
472,0
473,0
474,1
475,328
476,2
477,4
478,57
479,102
480,220
481,0
482,5548
483,3348
484,0
485,65
486,3152
487,10
488,2
489,1917
490,17
491,6011
492,990
