Repo Id,Number of issues having resolution time,Number of unique owner,Number of unique commenter,Number of unique watchers
133,84495,362,8377,11639
45,45840,214,4686,6012
96,24703,180,2756,4424
84,21151,165,1431,1605
106,17278,113,1804,2010
190,13655,182,1442,2013
23,12501,138,1190,1684
47,8881,133,1069,2313
123,7705,115,778,1084
39,6765,71,786,950
20,5344,93,134,247
145,5145,94,851,1154
207,4599,53,959,1355
32,4486,89,495,814
56,4164,23,305,423
191,4087,77,285,559
22,3932,55,541,1189
171,3105,38,191,325
103,2930,23,273,443
91,2919,67,290,490
62,2867,23,266,391
18,2838,57,93,226
136,2804,73,113,141
134,2609,62,149,344
63,2474,68,322,382
192,2417,48,49,50
64,2393,38,162,321
54,2308,43,439,638
120,2214,20,431,389
42,2134,32,494,1021
142,2086,21,441,462
107,2067,56,156,267
122,2010,35,347,513
30,1918,7,339,761
108,1870,69,296,472
199,1864,44,158,286
71,1791,51,305,903
51,1718,44,178,369
40,1682,51,166,209
161,1533,70,126,204
157,1441,36,208,434
78,1394,101,117,105
34,1298,40,142,277
189,1292,24,248,208
36,1120,18,121,245
43,1041,16,82,144
125,1038,15,106,183
89,1020,10,32,43
93,1019,44,74,99
35,923,33,107,199
24,921,21,22,32
137,873,22,122,82
149,846,13,132,159
79,842,32,72,87
135,789,25,86,134
116,778,18,46,91
172,766,52,129,306
102,753,63,162,210
2,711,41,116,192
87,695,38,108,152
41,688,22,63,82
158,661,24,85,97
150,629,27,38,47
31,611,10,27,33
57,597,38,106,148
153,573,28,150,221
75,563,10,153,370
48,532,8,54,61
104,531,44,136,427
148,518,13,92,151
29,517,54,44,60
28,505,16,118,227
168,504,16,102,332
74,498,9,7,13
129,478,28,25,30
14,454,38,42,113
126,439,38,120,469
170,435,11,44,38
174,431,12,32,58
162,391,8,19,63
113,388,10,42,68
194,383,7,17,24
173,377,29,90,107
179,373,19,0,73
163,361,25,28,21
81,353,27,37,63
117,325,6,15,32
156,325,18,11,9
118,319,16,78,171
95,318,18,17,40
169,316,12,43,53
17,313,16,37,74
73,296,18,45,143
16,267,21,39,36
178,265,9,24,24
138,260,10,20,33
210,258,7,22,21
26,256,5,27,49
38,256,6,32,45
183,252,9,30,60
58,244,17,20,29
60,234,21,30,105
44,231,6,12,19
152,228,16,37,56
119,203,11,16,45
68,198,7,50,70
130,197,18,38,61
99,191,17,17,36
159,185,15,26,45
61,184,24,24,17
86,182,13,13,15
105,180,30,20,30
100,177,14,22,109
185,176,10,48,34
198,174,1,34,49
85,166,7,16,37
50,156,23,47,17
139,136,18,24,69
202,135,9,21,77
196,130,8,25,36
101,127,16,35,81
182,124,10,6,7
154,117,3,24,24
83,114,15,14,16
144,107,12,10,31
92,106,10,19,26
121,106,6,9,6
46,105,14,16,39
77,103,18,16,26
143,102,5,9,22
55,96,14,24,32
88,92,5,17,14
19,81,2,9,7
111,81,9,29,102
147,81,3,18,28
112,79,7,14,36
128,76,2,6,12
203,76,7,15,16
94,75,5,17,16
140,74,14,14,31
25,71,13,14,48
124,69,21,17,21
167,66,7,8,4
176,64,4,8,14
15,61,12,31,66
114,61,3,5,9
175,53,5,2,6
127,52,3,6,8
186,50,7,6,4
67,48,8,8,24
69,48,6,11,10
82,47,6,15,38
208,46,5,2,3
204,45,10,9,23
27,44,7,6,15
146,44,2,2,0
37,40,4,4,16
195,34,2,2,2
206,34,4,3,5
80,31,7,5,23
209,31,9,10,25
201,28,5,6,7
200,27,6,3,5
160,26,3,8,11
33,22,3,2,9
98,20,4,2,2
197,20,1,1,1
184,19,3,4,4
141,17,3,3,4
188,17,5,11,12
49,16,2,7,8
215,16,2,5,10
164,15,3,5,7
131,14,8,7,16
109,11,4,3,6
166,10,2,2,1
181,10,3,6,3
59,9,3,5,7
52,8,2,5,4
205,8,4,3,8
187,7,3,3,5
72,6,2,2,5
223,5,2,2,3
70,4,2,1,0
155,4,2,3,6
211,4,1,1,4
212,4,3,3,2
221,4,1,2,4
53,3,2,1,0
219,3,1,2,3
180,2,1,60,0
21,1,1,1,0
90,1,1,1,2
110,1,1,1,0
213,1,1,0,2
214,1,1,1,2
218,1,1,1,2
