"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",259,8,8,8,6,0.214285714285714,0.0346820809248555,0.117602262273687
"2",2073,6,6,6,0,0.4,0.0269662921348315,1
"3",2318,2,2,2,0,0,0.0338028169014084,0
"4",2319,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"5",2075,6,6,6,0,0.4,0.0287081339712919,0.857691719369471
"6",432726,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"7",378243,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"8",432937,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"9",1555,6,6,6,0,0.4,0.0134529147982063,0.938708048026203
"10",194327,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"11",2929,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"12",434498,0,0,0,0,0,0.0769230769230769,0.00532674137356962
"13",443382,0,0,0,0,0,0.0769230769230769,0.00532674137356962
