"upeople_id","X324scmChanges","X450scmChanges","X464scmChanges","X326scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X324linesadded","X324linesremoved","X450linesadded","X450linesremoved","X464linesadded","X464linesremoved","X326ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
198,601,42,19,90,624,1108,5,7,151652,153326,2393,460,2260,1189,81,2,4,4,4,1,0,0.0245535714285714,0.998235780086843
330,4,0,0,0,4,23,3,7,72,44,0,0,0,0,0,7,0,0,0,0,0,0.0833333333333333,0.0030654847422483
670,77,0,0,0,27,29,13,8,163262,731,0,0,0,0,0,1,0,0,0,0,0,0.0833333333333333,0.0030654847422483
1404,127,3,0,1,33,181,4,7,10575,7208,20,2,0,0,1,6,2,2,2,0,0,0.024390243902439,0.00613102105511778
1714,22,0,0,75,39,19,3,8,1483,323,0,0,0,0,75,12,2,2,2,0,0,0.0140127388535032,1
2744,287,0,0,0,15,4,2,6,15606,19886,0,0,0,0,0,8,0,0,0,0,0,0.0833333333333333,0.0030654847422483
2745,7,0,0,0,0,0,3,6,311,210,0,0,0,0,0,10,0,0,0,0,0,0.0833333333333333,0.0030654847422483
3166,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0833333333333333,0.0030654847422483
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0833333333333333,0.0030654847422483
388687,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0833333333333333,0.0030654847422483
432589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0833333333333333,0.0030654847422483
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0833333333333333,0.0030654847422483
