"upeople_id","X38scmChanges","X171scmChanges","X311scmChanges","X396scmChanges","X73scrChanges","X141scrChanges","X279scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X38linesadded","X38linesremoved","X171linesadded","X171linesremoved","X311linesadded","X311linesremoved","X396linesadded","X396linesremoved","X73ReviewGotMerged","X141ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
13,18,3,0,0,3,41,0,2,0,3,10,1003,445,15,1,0,0,0,0,3,34,38,2,2,2,0,0,0.0221318879855465,1.34180302097104e-06
282,0,44,0,0,0,0,0,51,0,6,9,0,0,35073,12982,0,0,0,0,0,0,17,0,0,0,0,0,0.02,6.70910231850277e-07
322,0,2,0,0,0,0,0,2,0,4,8,0,0,88,4,0,0,0,0,0,0,6,0,0,0,0,0,0.02,6.70910231850277e-07
410,257,970,1,0,0,0,0,0,0,1,9,21716,16555,85547,57006,0,0,0,0,0,0,3,0,0,0,0,0,0.02,6.70910231850277e-07
411,1300,468,2,1,31,28,0,397,260,4,6,87145,69295,311869,417002,26,2,23,0,19,27,5,6,6,6,13,0,0.02234382124943,4.06636097035356e-06
412,1102,307,0,0,0,0,0,48,4,2,7,12600,7523,44351,17159,0,0,0,0,0,0,10,0,0,0,0,0,0.02,6.70910231850277e-07
413,3,151,0,0,0,0,0,15,0,3,10,39,21,64973,193119,0,0,0,0,0,0,8,0,0,0,0,0,0.02,6.70910231850277e-07
414,377,829,0,0,2,0,0,43,11,3,7,32527,32288,121065,41521,0,0,0,0,2,0,28,0,0,0,0,0,0.02,6.70910231850277e-07
415,333,71,0,0,0,0,0,40,27,3,6,44266,26706,3580,2059,0,0,0,0,0,0,1,0,0,0,0,0,0.02,6.70910231850277e-07
418,169,1032,0,0,19,0,0,164,6,3,10,15946,19199,260993,221265,0,0,0,0,18,0,24,4,4,4,7,0,0.0219435736677116,2.94379906948814e-06
425,4,76,0,0,0,0,0,1,0,2,10,130,112,1466,444,0,0,0,0,0,0,22,0,0,0,0,0,0.02,6.70910231850277e-07
430,113,462,0,0,38,16,0,7,0,2,7,9081,3944,37311,28038,0,0,0,0,19,15,16,6,6,6,19,0,0.0226537216828479,4.21778314938762e-06
431,14,1878,0,0,1,0,0,43,0,1,10,876,66,469453,362368,0,0,0,0,0,0,11,0,0,0,0,0,0.02,6.70910231850277e-07
432,694,118,7,0,56,111,1,55,94,2,9,73083,66968,14618,24717,185,87,0,0,48,108,15,8,8,8,11,0.214285714285714,0.0223132969034608,0.0633481632398872
434,4,203,0,0,0,0,0,0,0,1,8,132,40,9387,7602,0,0,0,0,0,0,27,0,0,0,0,0,0.02,6.70910231850277e-07
435,141,163,0,157,80,25,0,26,0,5,10,22662,7051,21591,9263,0,0,38394,20721,69,12,23,8,8,8,5,0.142857142857143,0.0220422852001799,1
439,3,6,0,0,0,0,0,4,0,2,6,1198,144,1110,204,0,0,0,0,0,0,20,0,0,0,0,0,0.02,6.70910231850277e-07
442,3,376,0,0,0,0,0,2,0,3,7,21,4,30305,15250,0,0,0,0,0,0,32,0,0,0,0,0,0.02,6.70910231850277e-07
443,12,539,0,0,3,0,0,14,0,1,10,270,9,96331,66195,0,0,0,0,3,0,7,2,2,2,0,0,0.0220621341737956,0.000910648138343268
