"upeople_id","X378scmChanges","X406scmChanges","X169scrChanges","X280scrChanges","X1mslChanges","number_of_domain","country","X378linesadded","X378linesremoved","X406linesadded","X406linesremoved","X169ReviewGotMerged","X280ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
200,14,4,2,0,0,4,9,669,89,115,11,2,0,8,2,2,2,0,0,0.0384615384615385,0.999999570274093
249,0,0,0,0,3,3,6,0,0,0,0,0,0,13,0,0,0,0,0,0.037037037037037,0.499999805467014
286,2,2,8,10,0,3,6,36,31,24,28,3,3,1,0,0,0,0,0,0.037037037037037,0.499999805467014
587,0,0,1,1,0,5,8,0,0,0,0,0,0,7,0,0,0,0,0,0.037037037037037,0.499999805467014
664,0,0,0,0,0,4,9,0,0,0,0,0,0,10,0,0,0,0,0,0.037037037037037,0.499999805467014
668,0,0,0,0,6,4,9,0,0,0,0,0,0,9,0,0,0,0,0,0.037037037037037,0.499999805467014
670,3,0,0,0,26,13,8,78,29,0,0,0,0,6,0,0,0,0,0,0.037037037037037,0.499999805467014
771,61,0,2,0,14,4,10,6127,1548,0,0,2,0,27,0,0,0,0,0,0.037037037037037,0.499999805467014
1439,0,0,0,0,0,4,6,0,0,0,0,0,0,15,0,0,0,0,0,0.037037037037037,0.499999805467014
1448,0,0,0,0,6,3,6,0,0,0,0,0,0,17,0,0,0,0,0,0.037037037037037,0.499999805467014
1645,0,0,0,0,0,4,9,0,0,0,0,0,0,18,0,0,0,0,0,0.037037037037037,0.499999805467014
1972,19,83,0,0,2,3,6,345,94,2827,666,0,0,26,0,0,0,0,0,0.037037037037037,0.499999805467014
2394,0,0,0,0,0,2,8,0,0,0,0,0,0,19,0,0,0,0,0,0.037037037037037,0.499999805467014
2396,0,0,0,0,0,2,9,0,0,0,0,0,0,11,0,0,0,0,0,0.037037037037037,0.499999805467014
3237,5,1,17,1,0,4,9,622,6,274,1,11,1,2,2,2,2,0,0,0.0384615384615385,1
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0.037037037037037,0.499999805467014
379589,0,0,0,0,2,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0.037037037037037,0.499999805467014
379635,0,0,0,0,3,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0.037037037037037,0.499999805467014
379690,0,0,0,0,36,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0.037037037037037,0.499999805467014
381084,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0.037037037037037,0.499999805467014
381162,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0.037037037037037,0.499999805467014
391200,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0.037037037037037,0.499999805467014
410752,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0.037037037037037,0.499999805467014
416115,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0.037037037037037,0.499999805467014
432608,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.037037037037037,0.499999805467014
441310,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0.037037037037037,0.499999805467014
444603,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0.037037037037037,0.499999805467014
