"upeople_id","X3scmChanges","X19scmChanges","X27scmChanges","X70scmChanges","X144scmChanges","X163scmChanges","X198scmChanges","X251scmChanges","X286scmChanges","X297scmChanges","X400scmChanges","X488scmChanges","X35scrChanges","X49scrChanges","X175scrChanges","X256scrChanges","X324scrChanges","X1mslChanges","number_of_domain","country","X3linesadded","X3linesremoved","X19linesadded","X19linesremoved","X27linesadded","X27linesremoved","X70linesadded","X70linesremoved","X144linesadded","X144linesremoved","X163linesadded","X163linesremoved","X251linesadded","X251linesremoved","X286linesadded","X286linesremoved","X297linesadded","X297linesremoved","X488linesadded","X488linesremoved","X35ReviewGotMerged","X49ReviewGotMerged","X175ReviewGotMerged","X256ReviewGotMerged","X324ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,10,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1670,0,0,0,0,5,0,0,12,0,0,0,0,0,0.0769230769230769,0.149802179094131
9,0,4,2,1,1,0,0,0,9,2,0,0,0,0,0,4,0,274,6,6,0,0,494,316,170,25,0,0,24,46,0,0,0,0,16504,16501,350,350,0,0,0,0,0,3,0,1,4,4,4,0,0.333333333333333,0.0952380952380952,0.586323212440181
20,37,2,269,6,56,3,0,1,18,3,0,2,14,20,11,2,18,525,5,6,12970,6723,281,13,64080,22169,2144,26,18434,11731,88,13,47,13,5756,83,281,13,324,2,14,14,8,0,11,4,2,2,2,0,0,0.0902255639097744,0.70494479709153
710,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1919,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0769230769230769,0.149802179094131
712,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,102,1,10,0,0,0,0,0,0,7774,6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,0,0.333333333333333,0.0923076923076923,0.821942681056117
714,0,0,0,15,0,0,0,0,16,0,0,0,0,19,0,24,0,1,2,8,0,0,0,0,0,0,10933,4146,0,0,0,0,0,0,1917,1502,0,0,0,0,0,12,0,13,0,11,6,6,6,2,0.133333333333333,0.096,1
1580,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,415,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0.0769230769230769,0.149802179094131
2624,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,89,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26862,11354,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0769230769230769,0.149802179094131
2626,0,0,0,0,0,0,0,0,29,0,0,0,0,45,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,1730,0,0,0,0,0,33,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.149802179094131
2628,0,1,0,0,0,0,0,0,29,0,0,0,0,54,0,0,0,24,5,7,0,0,1503,621,0,0,0,0,0,0,0,0,0,0,19195,7146,0,0,0,0,0,28,0,0,0,9,0,0,0,0,0,0.0769230769230769,0.149802179094131
2679,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0769230769230769,0.149802179094131
395088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.149802179094131
433476,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,13,0,0,0,0,0,0.0769230769230769,0.149802179094131
