"upeople_id","X85scmChanges","X152scmChanges","X176scmChanges","X223scmChanges","X273scmChanges","X308scmChanges","X349scmChanges","X145scrChanges","X188scrChanges","X241scrChanges","X336scrChanges","X367scrChanges","X387scrChanges","X404scrChanges","X1mslChanges","number_of_domain","country","X85linesadded","X85linesremoved","X152linesadded","X152linesremoved","X176linesadded","X176linesremoved","X223linesadded","X223linesremoved","X273linesadded","X273linesremoved","X308linesadded","X308linesremoved","X349linesadded","X349linesremoved","X145ReviewGotMerged","X188ReviewGotMerged","X241ReviewGotMerged","X336ReviewGotMerged","X367ReviewGotMerged","X387ReviewGotMerged","X404ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1111,20,0,49,44,83,47,25,27,137,64,175,45,0,136,137,1,10,44653,103,0,0,34189,18290,15286,24239,29831,1313,27654,6769,20413,11053,27,104,54,146,43,0,122,7,8,8,8,15,0.142857142857143,0.0321969696969697,0.531313055753202
1112,5,0,1,0,23,1,0,0,0,1,10,0,0,2,0,2,6,1042,145,0,0,256,215,0,0,8471,1372,11,6,0,0,0,0,0,5,0,0,2,10,4,4,4,18,0.333333333333333,0.033203125,0.0738159656252238
1116,2,20,2,13,0,4,1,4,4,6,5,2,39,5,3,3,9,5565,6,3861,2849,5010,5009,9584,333,0,0,22429,2,20,1,4,2,6,5,2,33,5,1,4,4,4,8,0.333333333333333,0.032015065913371,0.0984665670653245
1117,15,79,52,48,92,40,70,109,156,179,348,100,272,178,96,4,9,18299,16609,13058,6278,5479,3542,17799,16042,77816,74275,21265,20465,23869,8764,105,147,177,330,95,266,175,33,16,16,16,29,0.05,0.0333333333333333,1
1119,1,2,1,4,1,13,0,0,5,13,0,1,8,1,0,1,10,9,3,250,146,2,2,77,27,1,2,4756,320,0,0,0,5,12,0,1,8,0,27,0,0,0,0,0,0.0285714285714286,0.0252745771685872
1880,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,82,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0285714285714286,0.0252745771685872
1881,0,0,12,0,0,2,0,0,0,2,0,0,0,11,15,1,9,0,0,0,0,4033,174,0,0,0,0,4,4,0,0,0,0,2,0,0,0,10,13,0,0,0,0,0,0.0285714285714286,0.0252745771685872
1882,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,3,9,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0285714285714286,0.0252745771685872
1883,0,0,2,0,1,0,0,0,0,0,3,0,0,2,4,1,6,0,0,0,0,67,28,0,0,115,5,0,0,0,0,0,0,0,3,0,0,1,16,2,2,2,0,0,0.0275080906148867,0.323946815972088
2118,0,0,0,29,0,0,0,0,12,0,0,0,0,0,1,1,6,0,0,0,0,0,0,149538,127377,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0.0285714285714286,0.0252745771685872
2119,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,40886,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0285714285714286,0.0252745771685872
2120,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,1136,81,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0285714285714286,0.0252745771685872
2122,0,0,0,7,12,19,0,0,7,25,9,0,0,0,0,1,8,0,0,0,0,0,0,4057,667,3797,302,8322,2251,0,0,0,7,25,9,0,0,0,19,4,4,4,0,0.333333333333333,0.03125,0.408963620725508
2123,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,222,144,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0285714285714286,0.0252745771685872
