"upeople_id","X197scmChanges","X420scmChanges","X432scmChanges","X439scmChanges","X318scrChanges","X364scrChanges","X458scrChanges","X459scrChanges","X1mslChanges","number_of_domain","country","X197linesadded","X197linesremoved","X420linesadded","X420linesremoved","X432linesadded","X432linesremoved","X439linesadded","X439linesremoved","X318ReviewGotMerged","X364ReviewGotMerged","X458ReviewGotMerged","X459ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
167,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0133333333333333,0.000469265727874714
536,12,125,2,2,428,26,4,4,4,2,7,377,100,55363,19698,184,0,184,0,415,26,4,4,27,24,24,24,69,0.195652173913043,0.0216564237635353,0.382958118979409
826,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0133333333333333,0.000469265727874714
889,0,2,0,0,8,0,0,0,0,3,10,0,0,59,25,0,0,0,0,8,0,0,0,65,2,2,2,0,0,0.0165437066845518,0.022533033773782
2038,244,464,7,155,207,15,0,2,6,3,10,280068,72320,588470,208359,163,161,17716,8636,185,13,0,2,59,16,16,16,158.274509803922,0.216666666666667,0.0217519106407995,0.116397607936225
2039,45,396,12,214,1400,11,53,5,0,3,6,1747,233,72587,34820,626,15,8072,2206,1302,8,53,5,20,56,56,56,242.6,0.0675324675324675,0.0218546958062611,1
2040,23,249,0,0,172,0,0,0,11,2,9,40208,4031,43579,30216,0,0,0,0,154,0,0,0,22,12,12,12,0,0.272727272727273,0.0213996529786003,0.0332344381136197
2041,22,726,0,6,28,0,0,0,2,4,10,1006,139,72180,36616,0,0,0,0,25,0,0,0,2,4,4,4,0,0.333333333333333,0.0204872646733112,0.042616080593923
2042,100,545,16,117,239,23,73,13,2,1,10,287661,287032,500711,441099,5527,2676,9572,5456,223,23,68,13,4,18,18,18,142.882590612002,0.274509803921569,0.0218160377358491,0.123065430047438
2043,18,289,0,0,104,8,0,0,0,3,8,11740,3838,59881,13436,0,0,0,0,93,8,0,0,25,14,14,14,159.815923945336,0.241758241758242,0.0218160377358491,0.0126981887257148
2046,29,270,35,155,518,34,217,52,2,1,10,669,2508,20320,20511,1114,765,2474,1656,497,31,215,48,5,28,28,28,117.274509803922,0.169312169312169,0.0216311020169541,0.418923075261436
2050,1,158,3,0,564,6,0,7,0,1,8,25,8,16456,9533,8,3,0,0,527,2,0,7,47,26,26,26,66.5234699940582,0.196923076923077,0.0214058432166618,0.779373836386788
3182,0,61,0,0,12,0,0,0,0,1,6,0,0,1848,562,0,0,0,0,12,0,0,0,12,6,6,6,0,0.266666666666667,0.0208450704225352,0.0206467923542227
