"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X79scmChanges","X82scmChanges","X127scmChanges","X149scmChanges","X150scmChanges","X238scmChanges","X259scmChanges","X309scmChanges","X328scmChanges","X329scmChanges","X357scmChanges","X189scrChanges","X228scrChanges","X1mslChanges","number_of_domain","country","X79linesadded","X79linesremoved","X82linesadded","X82linesremoved","X127linesadded","X127linesremoved","X149linesadded","X149linesremoved","X238linesadded","X238linesremoved","X259linesadded","X259linesremoved","X309linesadded","X309linesremoved","X328linesadded","X328linesremoved","X357linesadded","X357linesremoved","X189ReviewGotMerged","X228ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
105,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,68,7,8,0,0,0,0,0,0,0,0,0,0,12268,68537,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.032258064516129,0.00151481472649611
276,339,0,0,0,1,1,0,0,102,0,9,0,3,6,366,389,5,8,0,0,0,0,3,3,0,48,0,0,3034,46143,0,0,217,163,257,257,6,339,1,16,16,16,26,0.116666666666667,0.0357568533969011,0.433426179416451
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.032258064516129,0.00151481472649611
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.032258064516129,0.00151481472649611
411,0,0,0,12,6,24,0,147,4,0,147,0,42,0,0,259,4,6,0,0,84,75,192,298,526,507,7530,3842,199,394,0,0,20992,21469,1615,949,0,0,4,0,0,0,0,0,0.032258064516129,0.00151481472649611
412,0,0,0,0,0,237,0,1,1,0,8,0,13,0,0,71,2,7,0,0,0,0,0,0,4341,3683,3,2,15,0,0,0,79,9,85,8,0,0,12,0,0,0,0,0,0.032258064516129,0.00151481472649611
430,0,0,5,2,0,35,0,0,12,1,72,0,3,0,0,51,2,7,103,96,12,6,0,0,140,68,0,0,42836,289,0,7,16357,3783,58,59,0,0,13,0,0,0,0,0,0.032258064516129,0.00151481472649611
610,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.032258064516129,0.00151481472649611
677,5,0,0,0,0,0,0,0,47,0,0,0,6,0,9,94,5,7,0,0,0,0,0,0,0,0,0,0,3653,1119,0,0,0,0,1196,34,0,5,9,2,2,2,0,0,0.0326441784548422,0.00302962949296228
756,0,0,0,0,0,12,0,0,0,0,188,0,54,0,0,131,3,6,0,0,0,0,0,0,60,16,0,0,0,0,0,0,45305,5265,2065,303,0,0,5,0,0,0,0,0,0.032258064516129,0.00151481472649611
765,0,0,0,20,9,14,0,167,0,0,103,0,40,0,0,42,2,10,0,0,398,263,72,178,96,88,32775,21878,0,0,0,0,18301,7449,3521,1569,0,0,14,0,0,0,0,0,0.032258064516129,0.00151481472649611
771,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,32,4,10,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.032258064516129,0.00151481472649611
773,0,0,0,0,702,44,0,0,0,0,31,0,0,0,0,232,5,7,0,0,0,0,336430,87597,176,87,0,0,0,0,0,0,14099,526,0,0,0,0,18,0,0,0,0,0,0.032258064516129,0.00151481472649611
804,39,0,0,0,0,1,0,0,67,0,0,0,0,0,41,61,3,9,0,0,0,0,0,0,1,1,0,0,1364,721,0,0,0,0,0,0,0,39,10,6,6,6,24,0.4,0.0357568533969011,0.0089982537206841
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.032258064516129,0.00151481472649611
817,143,0,0,0,0,0,0,0,49,0,0,0,0,0,156,177,7,7,0,0,0,0,0,0,0,0,0,0,5374,2387,0,0,0,0,0,0,0,143,30,12,12,12,8,0.212121212121212,0.0350058343057176,0.980075412075471
826,70,0,0,0,0,0,0,0,18,0,0,0,0,0,107,43,2,8,0,0,0,0,0,0,0,0,0,0,2007,161,0,0,0,0,0,0,0,70,7,8,8,8,8,0.357142857142857,0.0307062436028659,0.149406889283336
889,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,10,0,0,0,0,0,0,0,0,0,0,70,39,0,0,0,0,0,0,0,2,26,2,2,2,0,0,0.0326441784548422,0.0030296337656308
906,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,4,8,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,1,28,2,2,2,0,0,0.0338218714768884,0.00176999251980969
911,233,0,0,0,0,0,0,0,43,0,0,0,0,0,251,7,2,7,0,0,0,0,0,0,0,0,0,0,14864,6192,0,0,0,0,0,0,0,233,25,8,8,8,0,0.357142857142857,0.0279589934762349,1
1058,0,0,38,0,0,10,0,0,0,0,0,0,0,0,0,40,3,8,11030,5927,0,0,0,0,62,44,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.032258064516129,0.00151481472649611
1060,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,13,3,6,11886,6921,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.032258064516129,0.00151481472649611
1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.032258064516129,0.00151481472649611
1696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,1,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.032258064516129,0.00151481472649611
2334,58,0,0,0,0,0,0,0,13,0,0,0,0,0,70,24,2,8,0,0,0,0,0,0,0,0,0,0,7241,3326,0,0,0,0,0,0,0,58,15,6,6,6,0,0.4,0.0347624565469293,0.154640026960122
