"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X100scmChanges","X14scrChanges","X1mslChanges","number_of_domain","country","X100linesadded","X100linesremoved","X14ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
525,32,0,0,45,0,1,0,0,0,32,22,8,8,8,0,0.428571428571429,0.0363967242948135,0.0847999504086253
834,222,0,3111,232,64,4,10,5474330,4464889,222,37,18,18,18,7,0.300653594771242,0.03613369467028,0.147302566121359
1129,3,0,1,3,16,4,8,0,0,3,17,2,2,2,0,0,0.032051282051282,0.000415831702528409
1320,109,0,1911,124,122,3,10,8521988,5188180,109,2,26,26,26,36.4166666666667,0.246153846153846,0.0369685767097967,0.17347073474554
1334,0,0,152,0,36,5,6,53630,28420,0,10,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
1342,0,0,329,0,28,3,6,401686,299795,0,25,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
1345,806,0,1200,916,223,4,8,1896287,1623730,806,35,40,40,40,39,0.164102564102564,0.0364298724954463,1
1346,43,0,76,49,2,1,6,1477254,1682715,43,13,12,12,12,37,0.303030303030303,0.037037037037037,0.0307548365144198
1347,394,0,142,438,0,1,10,53024,34676,394,5,26,26,26,13.4166666666667,0.270769230769231,0.0377358490566038,0.503701680437689
1348,0,0,8,0,0,1,9,140399,155529,0,18,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
1350,47,0,342,58,24,3,9,393291,322388,47,14,16,16,16,28.4166666666667,0.4,0.0384615384615385,0.0529572071676468
1351,223,0,630,268,159,7,8,615804,325578,223,23,30,30,30,112.783333333333,0.183908045977011,0.0397614314115308,0.618647825900433
1356,0,0,1,0,0,2,8,96,0,0,19,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
1360,44,0,202,50,134,3,6,545382,234758,44,39,6,6,6,68.2,0.4,0.0392927308447937,0.00641533184096378
1363,0,0,10,0,0,1,8,18635,3386,0,28,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
1369,209,0,134,289,34,4,8,126701,87432,209,33,22,22,22,0,0.32034632034632,0.0371057513914657,0.554027927157968
1375,216,0,68,265,8,4,7,68387,55420,216,31,22,22,22,22,0.32034632034632,0.0377002827521206,0.798228181123012
1379,21,0,9,38,5,3,9,53089,64,21,26,10,10,10,20,0.222222222222222,0.0354609929078014,0.0786827922081575
1381,15,0,8,28,1,3,10,13066,10400,15,32,10,10,10,9,0.311111111111111,0.03613369467028,0.059605892350587
1384,5,0,2,12,1,3,6,710,706,5,38,4,4,4,0,0.333333333333333,0.0312989045383412,0.0379144653849252
1385,207,0,28,274,7,3,8,18087,3074,207,24,20,20,20,49.75,0.347368421052632,0.0388726919339164,0.382202182714472
3235,8,0,1,11,0,1,8,387,187,8,27,4,4,4,0,0.333333333333333,0.0355239786856128,0.0244197628035365
3244,189,0,68,351,0,3,10,366959,363079,189,29,18,18,18,20,0.339869281045752,0.0370713623725672,0.389701383102059
3275,8,0,7,10,0,4,10,107722,106532,8,40,2,2,2,0,0,0.0294550810014728,0.0114556110596385
378243,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378920,0,0,0,0,60,1,0,0,0,0,1,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378921,0,0,0,0,97,1,0,0,0,0,3,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378922,0,0,0,0,387,1,0,0,0,0,4,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378923,0,0,0,0,74,4,0,0,0,0,6,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378924,0,0,0,0,190,2,0,0,0,0,8,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378925,0,0,0,0,45,1,0,0,0,0,9,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378926,0,0,0,0,75,1,0,0,0,0,11,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378934,0,0,0,0,30,4,0,0,0,0,12,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378936,0,0,0,0,1,2,0,0,0,0,15,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378938,0,0,0,0,2,1,0,0,0,0,16,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378950,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
378962,0,0,0,0,1,4,0,0,0,0,21,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
395807,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0.024390243902439,3.72702625370627e-05
443129,52,0,6,85,9,3,0,33875,18982,52,41,14,14,14,0,0.351648351648352,0.0328407224958949,0.125684535594249
448597,167,0,0,217,0,0,0,0,0,167,34,16,16,16,16.5833333333333,0.35,0.037037037037037,0.359887930725568
452598,61,0,0,76,0,0,0,0,0,61,36,14,14,14,15,0.395604395604396,0.0366300366300366,0.128998905644904
