"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X4scmChanges","X330scmChanges","X347scmChanges","X419scrChanges","X1mslChanges","number_of_domain","country","X4linesadded","X4linesremoved","X330linesadded","X330linesremoved","X347linesadded","X347linesremoved","X419ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
21,0,0,320,372,0,0,212,4,9,292781,107856,29197,8310,0,0,0,37,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
22,2,0,88,627,0,5,524,2,10,6535,2395,36783,17809,0,0,2,44,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
23,16,0,1,649,0,30,502,3,6,84,3,201312,90955,0,0,16,9,6,6,6,64.6666666666667,0,0.0121683841262881,2.67471506710798e-05
24,370,0,26,1703,46,409,4096,6,6,1238,310,355481,264669,656,97,370,13,30,30,30,338.333333333333,0.114942528735632,0.0123759616456684,0.121201644717496
25,0,0,12,984,2,0,469,1,7,983,531,189584,141827,138,131,0,28,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
26,0,0,16,12,0,0,6,1,10,3305,1616,1742,605,0,0,0,25,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
27,0,0,38,12,0,0,52,1,7,58254,15212,2015,919,0,0,0,26,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
28,1,0,80,4,0,1,24,3,7,10322,4709,137,44,0,0,1,84,2,2,2,0,0,0.0115468636221783,1.65620958084768e-05
29,23,0,2,1586,0,23,251,1,10,24,13,193130,96698,0,0,23,43,10,10,10,193.333333333333,0.0444444444444444,0.0122706168472253,0.000426353077114224
32,1027,0,1,3070,0,1153,831,2,9,2,2,417077,235026,0,0,1027,24,42,42,42,112.666666666667,0.0766550522648084,0.0122638382499171,1
33,0,0,3,209,0,0,413,2,10,463,2,14362,5317,0,0,0,40,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
273,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
412,0,0,0,663,0,0,64,2,7,0,0,127237,60759,0,0,0,10,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
430,0,0,0,225,0,0,47,2,7,0,0,48767,31556,0,0,0,19,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
493,4,0,0,189,0,5,75,1,10,0,0,36761,12056,0,0,4,45,2,2,2,0,0,0.0120678408349641,3.93858614745114e-08
494,13,0,0,17,0,18,165,1,6,0,0,6202,3618,0,0,13,2,8,8,8,37.3333333333333,0.285714285714286,0.0122855561704483,0.0048933462896265
614,93,0,0,33,0,111,17,1,7,0,0,4455,4949,0,0,93,6,12,12,12,63.6,0.303030303030303,0.0123210123210123,0.25364057603375
679,230,0,0,25,0,300,36,4,6,0,0,11024,2865,0,0,230,5,16,16,16,75,0.166666666666667,0.0116854405726919,0.00820194671740226
771,21,0,0,13,0,28,7,4,10,0,0,455,83,0,0,21,50,8,8,8,0,0.428571428571429,0.0120691529846689,0.020654577263105
