"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X110scmChanges","X285scmChanges","X287scmChanges","X466scmChanges","X139scrChanges","X451scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X110linesadded","X110linesremoved","X285linesadded","X285linesremoved","X287linesadded","X287linesremoved","X466linesadded","X466linesremoved","X139ReviewGotMerged","X451ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
25,0,0,13,630,0,0,0,0,0,0,79,0,0,1,7,536,117,66350,12276,0,0,0,0,0,0,4,0,0,0,0,0,0.024390243902439,0.000842264744562596
1483,2,0,1268,61,0,0,5,0,2,14,248,29,347,7,6,1390765,1127208,35551,3365,0,0,0,0,2,0,16,4,4,4,11,0.333333333333333,0.0259235255994815,0.00175213905144524
1485,0,0,43,15,0,0,0,0,0,0,135,2,32,1,7,4002,2663,496,66,0,0,0,0,0,0,7,0,0,0,0,0,0.024390243902439,0.000842264744562596
1489,398,0,173,5621,15,117,451,231,29,325,2279,551,80,5,9,9485,5518,2134821,1413529,28083,25295,49772,29575,398,204,1,24,24,24,34,0.101449275362319,0.0263852242744063,0.812926615504904
1490,0,0,6,0,0,0,0,0,0,0,1,0,1,1,10,741,435,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.024390243902439,0.000842264744562596
1491,0,0,12,0,0,0,0,0,0,0,0,0,0,1,10,1554,393,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.024390243902439,0.000842264744562596
1493,0,0,2,0,0,0,0,0,0,0,0,0,5,2,7,52,12,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.024390243902439,0.000842264744562596
2456,1,0,0,1,0,0,16,0,0,26,21,11,0,2,7,0,0,149,0,0,0,0,0,1,0,39,4,4,4,10,0.333333333333333,0.0249221183800623,0.0275845167059844
2510,38,0,0,144,0,10,47,122,0,262,238,57,0,1,9,0,0,38967,47066,0,0,1229,305,38,119,12,12,12,12,20,0.272727272727273,0.0251889168765743,0.296261411224765
2582,0,0,0,177,0,0,0,0,0,0,87,0,0,1,6,0,0,31257,12469,0,0,0,0,0,0,6,0,0,0,0,0,0.024390243902439,0.000842264744562596
