"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X208scmChanges","X398scmChanges","X349scrChanges","X408scrChanges","number_of_domain","country","X208linesadded","X208linesremoved","X398linesadded","X398linesremoved","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,0,0,0,2,0,0,7,9,0,0,10,2,0,0,4,0,0,0,0,0,0.0526315789473684,0.00656623234689163
411,1,0,0,22,0,1,4,6,0,0,2050,1693,0,1,3,4,4,4,2,0.333333333333333,0.0612244897959184,0.141287142054796
412,0,0,254,581,0,1,2,7,4125,2615,58572,29018,0,0,5,0,0,0,0,0,0.0526315789473684,0.00656623234689163
589,69,0,13,3187,5,84,4,7,544,5256,491412,404997,5,69,17,6,6,6,0,0.266666666666667,0.0596026490066225,1
670,3,0,1,207,0,3,13,8,3441,0,38008,19911,0,3,2,6,6,6,2,0.266666666666667,0.0612244897959184,0.476789105116045
721,0,0,0,0,0,0,3,10,0,0,0,0,0,0,6,0,0,0,0,0,0.0526315789473684,0.00656623234689163
765,0,0,0,0,0,0,2,10,0,0,0,0,0,0,7,0,0,0,0,0,0.0526315789473684,0.00656623234689163
829,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0.0526315789473684,0.00656623234689163
1569,15,0,0,112,0,16,1,6,0,0,21425,30470,0,15,9,4,4,4,0,0.333333333333333,0.0608108108108108,0.885140197565323
2282,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0.0526315789473684,0.00656623234689163
2542,0,0,0,69,0,0,4,9,0,0,4786,1374,0,0,18,0,0,0,0,0,0.0526315789473684,0.00656623234689163
3082,0,0,0,0,0,0,2,9,0,0,0,0,0,0,19,0,0,0,0,0,0.0526315789473684,0.00656623234689163
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0.0526315789473684,0.00656623234689163
382758,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0526315789473684,0.00656623234689163
432600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0526315789473684,0.00656623234689163
432620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0526315789473684,0.00656623234689163
432896,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0.0526315789473684,0.00656623234689163
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0526315789473684,0.00656623234689163
433973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0526315789473684,0.00656623234689163
