"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X16scmChanges","X20scmChanges","X25scmChanges","X224scmChanges","X380scmChanges","X260scrChanges","X262scrChanges","X266scrChanges","X386scrChanges","X412scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","X12mslChanges","X13mslChanges","X14mslChanges","X15mslChanges","X16mslChanges","X17mslChanges","X18mslChanges","X19mslChanges","X20mslChanges","X21mslChanges","number_of_domain","country","X16linesadded","X16linesremoved","X20linesadded","X20linesremoved","X25linesadded","X25linesremoved","X224linesadded","X224linesremoved","X380linesadded","X380linesremoved","X260ReviewGotMerged","X262ReviewGotMerged","X266ReviewGotMerged","X386ReviewGotMerged","X412ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,0,0,8,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.00657894736842105,0.00862991040658986
179,0,0,11,3578,0,0,0,0,0,0,0,0,0,34,0,12,0,107,0,36,0,0,0,2,0,0,1,0,0,6,0,0,9,5,9,37,66,233158,149995,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.00657894736842105,0.00862991040658986
182,0,0,13,1868,0,11,0,0,0,0,0,0,0,13,7,9,0,72,0,85,1,0,0,7,0,1,8,72,11,0,0,0,15,3,6,62,77,426338,256295,0,0,240,321,0,0,0,0,0,0,0,32,0,0,0,0,0,0.00657894736842105,0.00862991040658986
185,0,0,6,192,0,76,0,0,0,0,0,0,0,1,3,2,0,13,0,34,0,0,1,1,0,0,1,3,3,157,0,3,8,4,10,11,8,16058,8292,0,0,3684,1612,0,0,0,0,0,0,0,29,0,0,0,0,0,0.00657894736842105,0.00862991040658986
189,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1,0,6,0,0,0,19,139,0,0,0,0,3,2,10,729,499,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.00657894736842105,0.00862991040658986
193,0,0,1,83,0,1957,0,0,0,0,0,0,0,0,17,0,0,2,0,84,1,0,228,0,32,3,2,179,0,0,0,0,1,5,8,2,1,1472,2443,0,0,80857,51631,0,0,0,0,0,0,0,27,0,0,0,0,0,0.00657894736842105,0.00862991040658986
197,2,0,23,3599,1,37,224,2,0,2,5,24,0,16,1,17,0,79,4,37,10,0,0,3,3,2,0,194,30,10,0,32,31,3,7,191,296,379851,252471,6,4,427,249,24992,23315,2,0,2,2,14,21,0,0,0,0,0,0.00657894736842105,0.00862991040658986
200,0,0,8,5,2,5,12,4,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,54,57,30,7,8,0,33,26,565,51,4,2,0,0,0,147,0,0,0,0,0,0.00657894736842105,0.00862991040658986
234,0,0,0,12,0,776,0,0,0,0,0,0,0,0,76,4,0,0,0,85,0,0,159,2,103,0,16,14,0,5,0,0,103,4,10,0,0,113,69,0,0,215629,106692,0,0,0,0,0,0,0,33,0,0,0,0,0,0.00657894736842105,0.00862991040658986
245,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,10,0,0,0,7,0,4,6,0,0,27825,20467,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.00657894736842105,0.00862991040658986
