"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
24,0,0,0,0,0,0,0,0,0,0,0,51,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0131578947368421,0.181374896149491
26,0,0,0,0,0,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0131578947368421,0.181374896149491
177,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0131578947368421,0.181374896149491
197,0,0,0,0,0,10,2,1,0,0,4,0,1,3,7,0,0,0,0,0,0,6733,6639,302,128,0,0,0,4,15,0,0,0,0,0,0.0131578947368421,0.181374896149491
199,195,0,0,0,50,5,10,248,0,0,2,58,7,3,6,0,0,0,0,5332,2293,20,9,842,203,195,0,0,0,8,12,12,12,15,0.121212121212121,0.0143102461362335,0.869185280473889
258,0,0,0,0,0,2,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,77,41,0,0,0,0,0,0,11,0,0,0,0,0,0.0131578947368421,0.181374896149491
273,6,0,0,0,2,0,2,6,0,0,0,28,92,7,9,0,0,0,0,15,31,0,0,10,2,6,0,0,0,13,6,6,6,0,0.4,0.0143184421534937,0.361134863895766
276,2,0,0,0,4,1,0,6,10,0,0,0,0,5,8,0,0,0,0,122,60,14,17,0,0,2,2,0,0,2,2,2,2,0,0,0.0141376060320452,0.105196905502796
319,0,0,0,0,0,0,0,0,0,0,0,0,8,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0131578947368421,0.181374896149491
341,0,0,2,0,0,0,0,0,0,0,0,12,39,1,7,16,13,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0131578947368421,0.181374896149491
