"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X253scmChanges","X294scmChanges","X125scrChanges","X226scrChanges","X1mslChanges","number_of_domain","country","X253linesadded","X253linesremoved","X294linesadded","X294linesremoved","X125ReviewGotMerged","X226ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
93,0,0,0,9,0,0,40,1,10,0,0,760,386,0,0,9,0,0,0,0,0,0.0714285714285714,0.00130182188238494
95,146,0,97,192,116,156,125,5,7,30494,48379,58573,759389,103,146,1,4,4,4,1,0.333333333333333,0.0426229508196721,0.0766915101983973
96,1325,0,117,2625,67,1360,32,3,6,21614,22238,400694,255614,66,1325,2,4,4,4,0,0.333333333333333,0.0291479820627803,1
709,0,0,13,369,0,0,70,6,9,3382,285,376279,161611,0,0,7,0,0,0,0,0,0.0714285714285714,0.00130182188238494
1803,667,0,101,1337,14,687,9,3,9,28631,13363,387468,293855,14,667,13,4,4,4,0,0.333333333333333,0.0412698412698413,0.996915710775178
2042,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,12,0,0,0,0,0,0.0714285714285714,0.00130182188238494
2152,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,3,0,0,0,0,0,0.0714285714285714,0.00130182188238494
2886,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,6,0,0,0,0,0,0.0714285714285714,0.00130182188238494
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,0.00130182188238494
380492,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0714285714285714,0.00130182188238494
381327,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0714285714285714,0.00130182188238494
384444,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0714285714285714,0.00130182188238494
406963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0714285714285714,0.00130182188238494
447349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0714285714285714,0.00130182188238494
