"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X36scmChanges","X49scmChanges","X55scmChanges","X77scmChanges","X108scmChanges","X128scmChanges","X140scmChanges","X158scmChanges","X178scmChanges","X221scmChanges","X258scmChanges","X260scmChanges","X278scmChanges","X300scmChanges","X340scmChanges","X397scmChanges","X85scrChanges","X101scrChanges","X129scrChanges","X150scrChanges","X249scrChanges","X327scrChanges","X366scrChanges","X370scrChanges","X396scrChanges","X1mslChanges","number_of_domain","country","X36linesadded","X36linesremoved","X49linesadded","X49linesremoved","X55linesadded","X55linesremoved","X77linesadded","X77linesremoved","X108linesadded","X108linesremoved","X128linesadded","X128linesremoved","X140linesadded","X140linesremoved","X158linesadded","X158linesremoved","X178linesadded","X178linesremoved","X221linesadded","X221linesremoved","X258linesadded","X258linesremoved","X260linesadded","X260linesremoved","X278linesadded","X278linesremoved","X300linesadded","X300linesremoved","X340linesadded","X340linesremoved","X397linesadded","X397linesremoved","X85ReviewGotMerged","X101ReviewGotMerged","X129ReviewGotMerged","X150ReviewGotMerged","X249ReviewGotMerged","X327ReviewGotMerged","X366ReviewGotMerged","X370ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
400,1,0,7,1,9,0,8,8,1,134,10,5,12,0,43,271,12,2,0,18,1,0,0,9,0,145,4,6,2,6,273,4,2,1,3514,3333,0,0,27651,222,360,357,2,2,574113,41137,1301,1297,228,2241,51215,905,0,0,9052,3831,100831,78053,173974,1005,1123,1123,0,9,1,0,0,6,0,0,1,4,4,4,2,0.333333333333333,0.09375,0.550462794682379
401,5,0,10,5,25,1,9,30,4,56,42,12,16,11,119,46,22,26,3,0,5,0,0,0,4,4,0,3,4,7,26,9,157,54,2036,1778,0,895,93,28529,1691,1023,10280,12,29815,9632,23132,4253,22205,3980,178,158,6588,5018,1392199,40319,439999,92188,219,151822,142301,16059,0,0,5,0,0,0,4,4,8,0,0,0,0,0,0.0769230769230769,0.109503763984861
403,5,0,59,25,92,1,11,129,34,153,83,38,18,37,209,173,32,57,2,4,5,4,3,20,0,0,0,7,3,8,673,354,486,655,10598,8180,101228,101264,171,905,5079,3521,1772,2276,8126,51936,3437,3546,4251,1829,103,132,1096,2863,41540,37145,162156,196196,997,2237,2284,2710,2,4,5,4,2,14,0,0,5,4,4,4,0,0.333333333333333,0.0869565217391304,1
406,2,0,7,5,35,1,9,50,1,61,22,0,18,3,11,11,8,23,0,0,2,0,0,0,0,0,0,19,4,7,48,13,363,15,3706,3714,1,1,1021,230,1523,1387,0,0,19830,11299,3734,683,0,0,1044,493,3,3,102,68,15,15,1527,981,2081,1626,0,0,2,0,0,0,0,0,4,2,2,2,0,0,0.0909090909090909,0.139448108368387
564,0,0,0,0,4,0,0,7,4,22,16,5,3,1,168,12,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,3,0,0,0,0,20,15,80,64,3861,995,1407,898,693,494,46,24,216,216,166014,129357,301,241,0,0,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.109503763984861
565,0,0,0,0,3,0,0,2,2,15,1,1,1,0,27,96,3,1761,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,4,0,0,0,0,2,2,6,6,7135,2389,220,0,6,6,788,0,0,0,3479,2421,7213,5325,18,2,189584,160556,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.109503763984861
567,0,0,0,0,8,0,0,5,0,14,30,21,1,0,295,26,1,4,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,2179,2184,0,0,0,0,48,50,0,0,1204,84,1379,590,1560,169,9,0,0,0,166344,38294,898,686,1,1,11,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0769230769230769,0.109503763984861
568,3,0,2,0,22,0,0,9,0,4,5,6,2,0,9,3,4,7,2,2,3,0,2,4,0,0,0,1,4,7,0,0,0,0,2296,2237,0,0,0,0,33,31,0,0,243,63,112,24,2302,27,49,26,0,0,656,506,0,44223,54,22,1852,1463,2,2,3,0,0,4,0,0,12,6,6,6,2,0.133333333333333,0.09375,0.922082801951484
934,0,0,0,0,0,7,0,0,6,0,1,1,0,0,0,191,0,0,0,0,0,0,0,0,0,2,0,0,2,9,0,0,0,0,0,0,246,1542,0,0,0,0,56,60,0,0,80,17,55754,0,0,0,0,0,0,0,234162,90070,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0769230769230769,0.109503763984861
1466,0,0,0,0,1,0,20,4,0,23,12,0,2,10,124,56,99,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,4697,5337,71,29,0,0,627,603,247,277,0,0,11,30,712,510,9537,4639,19075,20405,84590,77328,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0769230769230769,0.109503763984861
