"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X213scmChanges","X247scmChanges","X374scmChanges","X197scrChanges","X209scrChanges","X294scrChanges","X2mslChanges","number_of_domain","country","X213linesadded","X213linesremoved","X247linesadded","X247linesremoved","X374linesadded","X374linesremoved","X197ReviewGotMerged","X209ReviewGotMerged","X294ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
197,38,0,0,19,0,0,0,44,0,3,7,0,0,471,313,0,0,0,0,38,7,8,8,8,0,0.428571428571429,0.0324763193504736,0.0319475738292499
276,2,0,0,0,0,0,0,5,3,5,8,0,0,0,0,0,0,0,0,2,23,6,6,6,100.666666666667,0.4,0.0377358490566038,0.00272958378180111
415,181,0,0,87,2,0,8,227,65,3,6,0,0,6723,1376,726,15,0,2,181,1,16,16,16,29.3333333333333,0.383333333333333,0.0349854227405248,0.114360390204464
444,922,0,1,243,0,6,0,1111,88,3,9,35,3,10575,4546,0,0,1,0,922,24,34,34,34,58.6666666666667,0.196078431372549,0.0364188163884674,0.751367055155174
526,38,0,0,7,5,0,24,64,69,6,9,0,0,347,127,1879,0,0,19,38,3,10,10,10,3,0.4,0.0289156626506024,0.0910523543692235
550,99,0,0,25,0,0,0,196,0,5,6,0,0,3244,1406,0,0,0,0,99,12,6,6,6,0,0.4,0.0134907251264755,0.153542198835305
818,781,0,399,333,0,965,0,895,0,3,6,59467,18652,21734,5751,0,0,929,0,781,2,24,24,24,16,0.340579710144928,0.0361990950226244,0.3503789629275
832,1513,0,0,493,0,2,0,1742,105,1,8,0,0,31308,20251,0,0,2,0,1513,8,34,34,34,98.6666666666667,0.199643493761141,0.0384615384615385,0.722959799439628
838,1015,0,0,267,0,3,0,1254,338,1,9,0,0,13798,7982,0,0,3,0,1015,11,32,32,32,39,0.217741935483871,0.0350877192982456,1
869,149,0,0,18,0,0,0,189,115,5,8,0,0,2122,486,0,0,0,0,149,21,16,16,16,38.3333333333333,0.433333333333333,0.0356083086053412,0.626228663426473
1527,0,0,37,0,0,96,0,0,6,2,6,2785,563,0,0,0,0,60,0,0,5,0,0,0,0,0,0.04,0.000286671103021722
1554,33,0,0,6,0,0,0,59,57,2,8,0,0,287,91,0,0,0,0,33,4,8,8,8,0,0.428571428571429,0.0331491712707182,0.0895444516024429
2241,565,0,0,253,0,0,0,635,74,6,10,0,0,16441,7026,0,0,0,0,565,13,22,22,22,0,0.354978354978355,0.020979020979021,0.321080797062016
2242,992,0,0,432,0,0,0,1131,45,1,7,0,0,69540,27563,0,0,0,0,992,14,22,22,22,3,0.311688311688312,0.0309677419354839,0.437285043239425
2244,1431,0,0,273,0,1,0,1596,120,2,6,0,0,31246,13376,0,0,0,0,1431,16,30,30,30,20,0.248275862068966,0.0330123796423659,0.73307721436484
2249,122,0,0,30,0,6,0,131,94,2,7,0,0,667,634,0,0,6,0,122,6,22,22,22,112.333333333333,0.354978354978355,0.0382775119617225,0.0769342102160945
2253,3,0,0,1,0,0,0,3,14,4,9,0,0,104,104,0,0,0,0,3,15,4,4,4,8.66666666666667,0.333333333333333,0.0319573901464714,0.00238129036624624
2256,65,0,0,36,0,0,0,73,13,1,7,0,0,2067,565,0,0,0,0,65,18,14,14,14,38,0.461538461538462,0.0347322720694645,0.0386430844062796
2259,23,0,0,5,0,0,0,36,0,2,7,0,0,884,152,0,0,0,0,23,19,8,8,8,0,0.428571428571429,0.0336605890603086,0.0398076141254034
2262,2,0,0,1,0,0,0,2,0,2,9,0,0,189,0,0,0,0,0,2,20,2,2,2,0,0,0.0270574971815107,0.00239970042152013
2263,37,0,0,13,0,0,0,58,24,2,8,0,0,1676,99,0,0,0,0,37,17,12,12,12,80,0.454545454545455,0.0383386581469649,0.0395400851112671
2269,27,0,0,10,0,0,0,28,0,1,7,0,0,1390,259,0,0,0,0,27,22,4,4,4,0,0.333333333333333,0.0271493212669683,0.03219698033008
2270,79,0,0,10,0,0,0,80,5,4,9,0,0,3458,304,0,0,0,0,79,25,2,2,2,0,0,0.00345871162991786,0.0965450398569192
378243,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.04,0.000286671103021722
432589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.04,0.000286671103021722
