"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X173scmChanges","X341scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X173linesadded","X173linesremoved","X341ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1865,24,0,234,34,37,1,2,6,516139,18811,24,3,10,10,10,10.3333333333333,0.222222222222222,0.0481927710843374,0.302357589882872
1866,42,0,1526,47,14,0,4,8,465697,653338,42,4,8,8,8,2,0.285714285714286,0.047244094488189,0.953358173129275
1867,20,0,602,28,26,0,1,7,168473,155462,20,5,6,6,6,1,0.266666666666667,0.04642166344294,0.119552677033993
1869,0,0,4,0,0,0,1,10,3389,5746,0,7,0,0,0,0,0,0.04,0.0189339269534949
1870,12,0,526,16,11,1,1,10,70781,65364,12,9,6,6,6,0,0.4,0.0450281425891182,0.530887151259083
1871,0,0,8,7,0,0,2,10,493,435,0,13,4,4,4,2,0.333333333333333,0.047244094488189,0.0201308613255086
1873,8,0,298,8,4,7,3,9,104374,123068,8,15,2,2,2,0,0,0.041958041958042,0.184741263043172
1874,0,0,116,0,4,2,1,9,10879,4732,0,17,0,0,0,0,0,0.04,0.0189339269534949
1875,0,0,220,0,1,2,3,7,27844,10647,0,18,0,0,0,0,0,0.04,0.0189339269534949
1876,0,0,75,0,0,0,1,6,5631,1695,0,21,0,0,0,0,0,0.04,0.0189339269534949
3249,0,0,2,0,0,0,4,7,32,4,0,22,0,0,0,0,0,0.04,0.0189339269534949
154678,0,0,1,0,0,0,1,0,2,2,0,19,0,0,0,0,0,0.04,0.0189339269534949
378243,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0.04,0.0189339269534949
384792,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0.04,0.0189339269534949
385205,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0.04,0.0189339269534949
386232,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0.04,0.0189339269534949
386236,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0.04,0.0189339269534949
386244,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0.04,0.0189339269534949
386256,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0.04,0.0189339269534949
386268,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0.04,0.0189339269534949
386277,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0.04,0.0189339269534949
397086,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0.04,0.0189339269534949
397104,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0.04,0.0189339269534949
432022,26,0,0,35,0,0,2,0,0,0,26,24,8,8,8,5,0.214285714285714,0.0459770114942529,1
432408,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0.04,0.0189339269534949
