"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,1,0,0,3,6,9,7,0,15,0,0,0,0,0,0.0106382978723404,0.0118138291262531,96
0,0,0,0,0,4,10,0,0,0,27,0,0,0,0,0,0.0106382978723404,0.0118138291262531,185
0,0,982,0,0,2,10,331125,188075,0,24,0,0,0,0,0,0.0106382978723404,0.0118138291262531,189
0,0,0,0,0,5,8,0,0,0,26,0,0,0,0,0,0.0106382978723404,0.0118138291262531,193
1,0,8,1,0,3,7,124,60,1,20,4,4,4,13,0.333333333333333,0.0117320550018923,0.0388156623496318,197
4,0,5,4,0,3,6,74,8,4,10,4,4,4,40,0.333333333333333,0.0118652717529982,0.309882018709662,199
5,0,3,5,0,2,9,31,60,5,16,2,2,2,0,0,0.0119891710712904,0.0277027212432454,258
0,0,0,0,0,6,8,0,0,0,11,0,0,0,0,0,0.0106382978723404,0.0118138291262531,262
0,0,0,0,5,7,9,0,0,0,19,0,0,0,0,0,0.0106382978723404,0.0118138291262531,273
26,0,12,54,0,5,8,630,689,26,1,10,10,10,35,0.0888888888888889,0.0117810995692931,0.856211172893574,276
1,0,7,5,0,4,6,76,34,1,89,2,2,2,0,0,0.011969111969112,0.037908389871786,277
1,0,1,4,12,3,6,9,1,1,12,2,2,2,0,0,0.0119891710712904,0.0277027337269846,286
0,0,0,0,4,4,8,0,0,0,4,0,0,0,0,0,0.0106382978723404,0.0118138291262531,300
0,0,812,0,9,2,7,154832,47375,0,18,0,0,0,0,0,0.0106382978723404,0.0118138291262531,319
0,0,12,0,8,4,6,39,36,0,14,0,0,0,0,0,0.0106382978723404,0.0118138291262531,411
0,0,641,0,51,2,7,55184,21388,0,21,0,0,0,0,0,0.0106382978723404,0.0118138291262531,412
37,0,9,39,2,6,8,4622,177,37,83,2,2,2,0,0,0.010811439200186,0.691061435969899,417
0,0,0,0,28,4,10,0,0,0,3,0,0,0,0,0,0.0106382978723404,0.0118138291262531,517
