"","no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_review_by_the_author_got_merged",1,NA,0.906323420316512,1,-0.348585930890966,-0.174459052252338,0.906323420316512,0.906323420316512,0.906323420316512,1,-0.633897386708134,0.697171861781933,0.697171861781933,0.697171861781933,0.906323420316512,NA,0.66321350999953,0.598022074517392,-0.90317784383475
"AVG_Merge_Time",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scmChanges",0.906323420316512,NA,1,0.906323420316512,-0.2,0.0176638750136888,1,1,1,0.906323420316512,-0.654653670707977,0.8,0.8,0.8,1,NA,0.678877555192259,0.711393674208779,-0.992674308308496
"scrChanges",1,NA,0.906323420316512,1,-0.348585930890966,-0.174459052252338,0.906323420316512,0.906323420316512,0.906323420316512,1,-0.633897386708134,0.697171861781933,0.697171861781933,0.697171861781933,0.906323420316512,NA,0.66321350999953,0.598022074517392,-0.90317784383475
"mslChanges",-0.348585930890966,NA,-0.2,-0.348585930890966,1,-0.194302625150577,-0.2,-0.2,-0.2,-0.348585930890966,-0.392792202424786,-0.4,-0.4,-0.4,-0.2,NA,0.13736818565474,-0.400253802155421,0.168915498328962
"number_of_domain",-0.174459052252338,NA,0.0176638750136888,-0.174459052252338,-0.194302625150577,1,0.0176638750136888,0.0176638750136888,0.0176638750136888,-0.174459052252338,-0.0346911618499149,-0.229630375177955,-0.229630375177955,-0.229630375177955,0.0176638750136888,NA,0.307878388653743,-0.268555565317883,-0.0758193582780057
"country",0.906323420316512,NA,1,0.906323420316512,-0.2,0.0176638750136888,1,1,1,0.906323420316512,-0.654653670707977,0.8,0.8,0.8,1,NA,0.678877555192259,0.711393674208779,-0.992674308308496
"linesadded",0.906323420316512,NA,1,0.906323420316512,-0.2,0.0176638750136888,1,1,1,0.906323420316512,-0.654653670707977,0.8,0.8,0.8,1,NA,0.678877555192259,0.711393674208779,-0.992674308308496
"linesremoved",0.906323420316512,NA,1,0.906323420316512,-0.2,0.0176638750136888,1,1,1,0.906323420316512,-0.654653670707977,0.8,0.8,0.8,1,NA,0.678877555192259,0.711393674208779,-0.992674308308496
"ReviewGotMerged",1,NA,0.906323420316512,1,-0.348585930890966,-0.174459052252338,0.906323420316512,0.906323420316512,0.906323420316512,1,-0.633897386708134,0.697171861781933,0.697171861781933,0.697171861781933,0.906323420316512,NA,0.66321350999953,0.598022074517392,-0.90317784383475
"X",-0.633897386708134,NA,-0.654653670707977,-0.633897386708134,-0.392792202424786,-0.0346911618499149,-0.654653670707977,-0.654653670707977,-0.654653670707977,-0.633897386708134,1,-0.130930734141595,-0.130930734141595,-0.130930734141595,-0.654653670707977,NA,-0.937081942561285,0.00369434519608738,0.715744291593209
"in_degree",0.697171861781933,NA,0.8,0.697171861781933,-0.4,-0.229630375177955,0.8,0.8,0.8,0.697171861781933,-0.130930734141595,1,1,1,0.8,NA,0.13338649911402,0.956077540337521,-0.742019372458853
"out_degree",0.697171861781933,NA,0.8,0.697171861781933,-0.4,-0.229630375177955,0.8,0.8,0.8,0.697171861781933,-0.130930734141595,1,1,1,0.8,NA,0.13338649911402,0.956077540337521,-0.742019372458853
"degree",0.697171861781933,NA,0.8,0.697171861781933,-0.4,-0.229630375177955,0.8,0.8,0.8,0.697171861781933,-0.130930734141595,1,1,1,0.8,NA,0.13338649911402,0.956077540337521,-0.742019372458853
"betweenness",0.906323420316512,NA,1,0.906323420316512,-0.2,0.0176638750136888,1,1,1,0.906323420316512,-0.654653670707977,0.8,0.8,0.8,1,NA,0.678877555192259,0.711393674208779,-0.992674308308496
"clustcoeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"closeness",0.66321350999953,NA,0.678877555192259,0.66321350999953,0.13736818565474,0.307878388653743,0.678877555192259,0.678877555192259,0.678877555192259,0.66321350999953,-0.937081942561285,0.13338649911402,0.13338649911402,0.13338649911402,0.678877555192259,NA,1,-0.0328100194829816,-0.755277022731778
"eigencentrality",0.598022074517392,NA,0.711393674208779,0.598022074517392,-0.400253802155421,-0.268555565317883,0.711393674208779,0.711393674208779,0.711393674208779,0.598022074517392,0.00369434519608738,0.956077540337521,0.956077540337521,0.956077540337521,0.711393674208779,NA,-0.0328100194829816,1,-0.627337752386386
"upeople_id",-0.90317784383475,NA,-0.992674308308496,-0.90317784383475,0.168915498328962,-0.0758193582780057,-0.992674308308496,-0.992674308308496,-0.992674308308496,-0.90317784383475,0.715744291593209,-0.742019372458853,-0.742019372458853,-0.742019372458853,-0.992674308308496,NA,-0.755277022731778,-0.627337752386386,1
