"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",10,10,10,26.5,0.4,0.0955056179775281,0.041919562012285,0.0431123580077233
"2",16,16,16,8,0.25,0.0772727272727273,0.914429133196812,0.100685732444075
"3",18,18,18,25,0.209150326797386,0.0939226519337017,1,0.132741861579325
"4",4,4,4,0,0.333333333333333,0.0772727272727273,0.15781952709535,0.0422022008540982
"5",0,0,0,0,0,0.0555555555555556,0.0963441113073942,0.0343796711509716
"6",0,0,0,0,0,0.0555555555555556,0.0963441113073942,0.0343796711509716
"7",6,6,6,0,0.4,0.080952380952381,0.0538513940326207,0.0372821269265256
"8",14,14,14,24,0.263736263736264,0.086734693877551,0.573231026747778,0.0765227085533417
"9",12,12,12,0,0.363636363636364,0.0769230769230769,0.0907360881418922,0.0549965763618742
"10",8,8,8,0,0.428571428571429,0.0450928381962865,0.298255982793127,0.0535260980873371
"11",16,16,16,37.5,0.133333333333333,0.0939226519337017,0.038165105439037,0.0902416827224689
"12",2,2,2,0,0,0.0876288659793814,0.000257969771668247,0.0351033072860103
"13",2,2,2,0,0,0.0714285714285714,0.000155780695476939,0.0422350316085586
"14",4,4,4,13,0,0.0755555555555556,0.000479112692534165,0.0554496032300257
"15",2,2,2,0,0,0.0596491228070175,0.000973244826709948,0.0401687602312809
"16",6,6,6,24,0.133333333333333,0.083743842364532,0.0305547328532858,0.051388954159805
"17",4,4,4,0,0.333333333333333,0.0711297071129707,0.00893249903688674,0.0412039844946356
"18",0,0,0,0,0,0.0555555555555556,0.0963441113073942,0.0343796711509716
