"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",1501,14,14,14,16,0.153846153846154,0.157894736842105,0.615123389351723
"2",378243,0,0,0,0,0,0.1,0.00818632103033392
"3",383455,2,2,2,0,0,0.0810810810810811,0.0295303545492342
"4",432704,12,12,12,0,0.212121212121212,0.128571428571429,1
"5",383457,6,6,6,6,0.4,0.118421052631579,0.06162215424392
"6",383459,8,8,8,0,0.357142857142857,0.102272727272727,0.7459646935222
"7",383460,6,6,6,0,0.4,0.0810810810810811,0.707555677692215
"8",383461,4,4,4,0,0.333333333333333,0.121621621621622,0.0364498216559426
"9",383463,4,4,4,3,0.333333333333333,0.147540983606557,0.0138326502143376
"10",383471,0,0,0,0,0,0.1,0.00818632103033392
